Date,Open,High,Low,Close
20210101,82.117623,82.366740,82.075267,82.324384
20210104,82.508768,82.625830,82.311699,82.428760
20210105,82.414100,82.810270,82.130584,82.526755
20210106,82.915228,83.201838,82.728049,83.014659
20210107,83.558321,83.926189,82.897825,83.265693
20210108,83.529232,83.680759,83.064817,83.216344
20210111,83.513836,83.618349,83.296758,83.401271
20210112,84.052700,84.564446,83.750986,84.262731
20210113,84.263564,84.431741,83.849596,84.017773
20210114,84.651096,84.823326,84.120605,84.292835
20210115,84.683763,85.031268,84.269430,84.616935
20210118,85.409497,85.670363,85.073929,85.334795
20210119,85.903759,86.072694,85.509112,85.678047
20210120,87.017771,87.300415,86.374881,86.657525
20210121,88.020020,88.535956,87.729767,88.245703
20210122,89.213812,89.362171,89.063039,89.211398
20210125,90.521958,90.674265,90.361161,90.513468
20210126,91.494062,91.823170,91.325518,91.654626
20210127,92.920847,93.254667,92.347143,92.680962
20210128,93.991433,94.209041,93.564288,93.781896
20210129,94.880845,95.123260,94.738215,94.980630
20210201,96.548845,97.006827,96.207382,96.665364
20210202,97.754625,98.144445,97.608363,97.998183
20210203,99.422720,99.698319,99.242325,99.517924
20210204,101.219059,101.518365,100.931429,101.230736
20210205,102.659746,103.034335,102.212833,102.587422
20210208,104.365722,104.932502,104.083898,104.650679
20210209,105.873943,106.556525,105.498775,106.181358
20210210,107.801283,108.150001,107.367669,107.716387
20210211,109.772677,110.176640,109.693107,110.097069
20210212,112.007310,112.112626,111.836288,111.941605
20210215,114.033297,114.262288,113.584178,113.813170
20210216,115.802252,116.207987,115.744900,116.150635
20210217,118.707112,118.908815,118.402025,118.603728
20210218,120.826362,120.914557,120.579871,120.668066
20210219,122.622114,122.718351,122.468328,122.564564
20210222,124.513844,124.991008,124.358321,124.835485
20210223,127.291987,127.327581,126.978616,127.014210
20210224,129.399971,129.580598,128.899187,129.079814
20210225,131.587987,132.050911,131.435081,131.898005
20210226,134.344749,134.769460,134.266869,134.691579
20210301,136.664787,137.266647,136.447373,137.049233
20210302,139.466306,139.577283,139.437978,139.548955
20210303,141.962985,142.051061,141.578165,141.666241
20210304,144.391002,144.681975,143.963512,144.254484
20210305,147.132262,147.194336,146.975533,147.037607
20210308,149.625784,150.107805,149.269671,149.751691
20210309,152.001195,152.211869,151.633006,151.843680
20210310,154.883227,155.505949,154.548687,155.171408
20210311,157.951214,158.150012,157.439042,157.637840
20210312,160.472990,160.753896,159.926284,160.207190
20210315,162.671241,163.000365,162.120565,162.449688
20210316,165.440435,165.816709,165.140898,165.517172
20210317,168.585641,168.807820,168.189500,168.411679
20210318,170.963513,171.540216,170.628061,171.204764
20210319,174.521712,174.805452,174.421708,174.705447
20210322,177.665325,178.201432,177.286082,177.822188
20210323,180.778909,180.847281,180.669234,180.737606
20210324,184.302243,184.655141,183.932746,184.285645
20210325,187.398067,187.776009,186.864386,187.242328
20210326,190.122023,190.679526,189.748132,190.305634
20210329,193.574645,193.700130,193.451791,193.577276
20210330,196.534975,196.994923,196.180745,196.640693
20210331,199.755053,199.869683,199.560444,199.675075
20210401,202.836476,203.158432,202.155475,202.477432
20210402,206.247695,206.700956,205.975595,206.428856
20210405,209.934800,210.091499,209.804554,209.961253
20210406,213.380736,213.507340,213.056149,213.182752
20210407,216.311189,216.467391,216.121674,216.277876
20210408,219.942371,220.333330,219.660355,220.051313
20210409,223.285473,223.668454,223.172831,223.555812
20210412,227.133436,227.497741,226.842799,227.207104
20210413,231.012089,231.184879,230.488323,230.661114
20210414,234.381019,234.566629,233.971567,234.157177
20210415,237.494355,238.229206,237.131381,237.866232
20210416,241.181966,241.769865,240.940042,241.527941
20210419,245.265602,245.339180,245.027595,245.101173
20210420,248.741479,249.249887,248.488725,248.997133
20210421,252.568315,252.677522,252.080428,252.189635
20210422,256.219475,256.306918,256.020230,256.107673
20210423,259.867804,260.103063,259.513070,259.748329
20210426,263.368107,263.489303,263.151327,263.272523
20210427,267.361401,268.095029,266.978835,267.712463
20210428,271.584619,271.968350,270.808400,271.192131
20210429,275.593192,276.027769,275.291726,275.726304
20210430,279.522904,279.678211,279.033912,279.189219
20210503,283.315080,283.708399,283.000845,283.394163
