Date,Open,High,Low,Close
20210101,129.387699,130.309292,128.863648,129.785241
20210104,130.514987,131.307287,129.991219,130.783519
20210105,131.195511,131.719778,130.594549,131.118816
20210106,131.812535,132.138994,131.766207,132.092666
20210107,132.701470,133.343734,132.207134,132.849398
20210108,132.853928,132.951360,132.838153,132.935585
20210111,132.835359,133.427659,132.525699,133.117999
20210112,133.817011,133.861125,133.319171,133.363286
20210113,134.032374,134.623543,133.731161,134.322329
20210114,135.389060,135.592518,134.911956,135.115414
20210115,136.632106,137.101349,135.813918,136.283161
20210118,137.357063,137.563258,137.041640,137.247836
20210119,138.428433,138.818076,137.520132,137.909775
20210120,139.629937,140.305483,139.211328,139.886875
20210121,141.436422,141.995916,140.927550,141.487044
20210122,142.060054,142.200222,141.893244,142.033412
20210125,143.173506,143.514197,142.662403,143.003093
20210126,144.771601,144.980439,144.455425,144.664263
20210127,145.763533,145.789029,145.665519,145.691015
20210128,148.008093,148.170260,147.464034,147.626201
20210129,149.604097,149.968505,148.789270,149.153678
20210201,151.264454,151.308755,150.815981,150.860282
20210202,152.782741,153.103627,151.963030,152.283916
20210203,154.718385,155.565937,154.326823,155.174375
20210204,156.595370,157.112996,155.903263,156.420889
20210205,158.800355,159.006162,158.451242,158.657049
20210208,161.734353,162.439883,161.526397,162.231926
20210209,165.205737,165.420801,164.649973,164.865037
20210210,167.245185,167.783154,166.482962,167.020931
20210211,170.144060,170.499400,169.834164,170.189504
20210212,173.278976,173.337615,173.107401,173.166041
20210215,175.671529,175.748813,175.639959,175.717244
20210216,178.639940,179.226377,178.132567,178.719003
20210217,181.849374,182.395121,181.303750,181.849498
20210218,184.198429,184.722263,184.120900,184.644735
20210219,188.008987,188.603501,187.546175,188.140689
20210222,191.971215,192.444831,191.372242,191.845858
20210223,195.659755,196.147238,195.085813,195.573297
20210224,198.338009,198.551697,197.832149,198.045837
20210225,201.682395,201.702830,201.660760,201.681195
20210226,205.480790,205.552954,205.466815,205.538980
20210301,209.380306,209.397761,209.121172,209.138627
20210302,213.673188,214.324163,213.088944,213.739919
20210303,217.281730,217.676681,217.096877,217.491828
20210304,220.720406,221.049411,220.714751,221.043757
20210305,224.884007,225.380840,224.112327,224.609160
20210308,228.700890,229.175735,228.045535,228.520380
20210309,232.451396,232.943212,231.794984,232.286800
20210310,236.931354,237.086051,236.551869,236.706566
20210311,240.821572,241.269113,240.622335,241.069876
20210312,244.871821,245.555371,244.443326,245.126875
20210315,249.384147,249.894586,248.994634,249.505073
20210316,253.814540,254.326165,253.210209,253.721834
20210317,258.612202,259.269862,258.497770,259.155431
20210318,263.758935,263.928050,263.556629,263.725744
20210319,267.529854,268.529937,267.097120,268.097202
20210322,273.165015,273.348733,272.631776,272.815494
20210323,277.821007,278.395111,276.975084,277.549188
20210324,281.718226,281.749749,281.247382,281.278905
20210325,285.286889,285.353945,284.755846,284.822902
20210326,289.881090,290.061197,289.198086,289.378193
20210329,293.521004,293.978500,293.505892,293.963389
20210330,299.244524,300.051418,298.922441,299.729335
20210331,304.466174,304.997579,304.055647,304.587053
20210401,309.726987,310.065838,309.449557,309.788407
20210402,314.585957,315.257490,314.334152,315.005685
20210405,320.413620,321.103074,320.160166,320.849620
20210406,326.104933,326.943770,325.520747,326.359584
20210407,331.396362,332.438644,330.906257,331.948539
20210408,337.306488,337.581357,336.673332,336.948201
20210409,341.738904,342.448225,341.315530,342.024851
20210412,346.999674,347.169408,346.599759,346.769493
20210413,352.254374,352.829432,351.205133,351.780190
20210414,357.864388,358.467342,357.837653,358.440607
20210415,363.799889,364.185407,362.923643,363.309161
20210416,368.074091,368.893691,367.588443,368.408043
20210419,373.692138,374.356629,373.213852,373.878343
20210420,379.296427,379.999794,379.086151,379.789519
20210421,385.984931,386.395656,385.870009,386.280734
20210422,391.502181,391.952177,391.396944,391.846940
20210423,397.835917,398.286115,396.789679,397.239876
20210426,403.531444,404.234444,403.415787,404.118787
20210427,409.857267,409.906231,409.479303,409.528268
20210428,414.722745,415.334580,414.330512,414.942347
20210429,420.733879,421.226329,420.347868,420.840318
20210430,426.627778,427.280483,426.413387,427.066091
20210503,432.091822,432.592641,431.464711,431.965529
20210504,437.832438,438.365579,436.996985,437.530126
20210505,443.675986,444.187205,443.472516,443.983735
20210506,450.526700,451.324455,450.044806,450.842561
20210507,457.098143,457.658080,456.621691,457.181627
20210510,463.278229,464.002662,462.702227,463.426660
20210511,469.151800,469.237154,468.632567,468.717921
20210512,475.275974,475.890813,474.998337,475.613176
20210513,482.272318,482.534503,481.647993,481.910179
20210514,487.644269,487.751342,487.025929,487.133002
20210517,493.263474,493.708757,492.774765,493.220049
20210518,499.798356,500.718025,499.224435,500.144104
20210519,506.243524,506.866999,505.694831,506.318306
20210520,512.459479,512.689265,512.057804,512.287589
20210521,517.873906,518.229214,517.111178,517.466486
20210524,523.097947,523.548601,522.895394,523.346048
20210525,529.631504,530.008314,528.927736,529.304546
20210526,535.742779,535.887153,535.737316,535.881690
20210527,542.391288,542.420545,542.189324,542.218581
20210528,547.638259,548.025061,547.529497,547.916299
20210531,553.278222,553.629992,553.221988,553.573758
20210601,559.648639,559.788870,558.977670,559.117900
20210602,565.138383,566.012258,564.791087,565.664962
20210603,571.321831,571.752546,571.043287,571.474001
20210604,577.398220,577.932243,576.678847,577.212871
20210607,583.535592,584.230684,583.304669,583.999760
20210608,589.701615,590.176991,588.906611,589.381987
20210609,595.179908,595.618166,594.902810,595.341068
20210610,601.801644,602.350555,601.289017,601.837928
20210611,607.490555,607.908599,607.464797,607.882841
20210614,614.310350,614.438557,614.193068,614.321275
20210615,619.614340,620.213504,619.430924,620.030088
20210616,625.366976,626.210888,624.908847,625.752758
20210617,630.814435,631.439681,630.644197,631.269444
20210618,637.142247,637.401785,636.380498,636.640035
20210621,642.183026,642.474863,641.574470,641.866308
20210622,647.767935,648.445774,647.463661,648.141500
20210623,654.132840,654.516907,653.692197,654.076264
20210624,659.115185,659.248007,658.964030,659.096852
20210625,664.211281,664.334702,664.166833,664.290254
20210628,669.811924,669.851418,669.800510,669.840004
20210629,675.788595,676.030087,675.581614,675.823105
20210630,681.325544,681.529074,681.167809,681.371339
20210701,687.269187,687.273773,686.857325,686.861911
20210702,692.706637,693.163522,692.228733,692.685617
20210705,697.567074,698.296938,696.982338,697.712202
20210706,702.582993,702.917443,702.296748,702.631198
20210707,707.985652,708.325921,707.336493,707.676762
20210708,713.194404,713.825185,713.094123,713.724905
20210709,718.833301,719.455735,718.429782,719.052216
20210712,724.571912,725.614959,724.010857,725.053904
20210713,730.793020,731.506067,730.654967,731.368013
20210714,735.981515,736.747277,735.429284,736.195046
20210715,741.167973,741.738812,740.011690,740.582529
20210716,745.753556,746.095807,744.858245,745.200495
20210719,749.228410,749.265520,748.744493,748.781603
20210720,753.326012,753.896813,753.293624,753.864426
20210721,758.407352,758.415465,758.392575,758.400688
20210722,763.715827,764.214922,763.629791,764.128886
20210723,768.344168,769.005694,767.775359,768.436886
20210726,773.434317,774.079449,773.254572,773.899704
20210727,778.551071,779.113334,777.814328,778.376591
20210728,782.660900,783.505334,782.080240,782.924674
20210729,786.675367,787.255850,786.579190,787.159673
20210730,790.872779,791.416953,790.179652,790.723825
20210802,795.691157,795.951266,795.128529,795.388638
20210803,799.936524,800.132549,799.441087,799.637112
20210804,804.202494,804.617926,804.080661,804.496093
20210805,808.470479,808.754900,807.693419,807.977840
20210806,812.224314,812.494721,811.521467,811.791874
20210809,815.105430,815.326305,814.731789,814.952664
20210810,818.969752,819.420734,818.138203,818.589185
20210811,822.631095,823.076503,822.298564,822.743972
20210812,826.306076,826.336669,826.261831,826.292424
20210813,829.499191,830.402361,829.004783,829.907953
20210816,833.395590,833.441444,832.837386,832.883240
20210817,835.824510,836.588353,835.641255,836.405098
20210818,839.560129,840.143517,838.623224,839.206611
20210819,842.562711,843.131814,841.705350,842.274453
20210820,845.859353,846.615906,845.550992,846.307545
20210823,849.629346,849.644295,849.183611,849.198561
20210824,852.764133,852.986950,852.287773,852.510589
20210825,856.105814,856.964107,855.652198,856.510491
20210826,859.096520,859.470098,859.085503,859.459080
20210827,862.148507,862.313238,861.932292,862.097022
20210830,864.938218,865.023122,864.393269,864.478173
20210831,866.345787,866.894071,866.183132,866.731416
20210901,869.289368,870.137553,868.975021,869.823206
20210902,872.334387,872.798829,871.736845,872.201288
20210903,874.023392,874.512766,872.961025,873.450398
20210906,875.113144,875.637026,874.724411,875.248294
20210907,876.985758,878.013017,876.443290,877.470549
20210908,879.206634,879.527253,878.906727,879.227346
20210909,881.704800,882.440351,881.403408,882.138959
20210910,884.255812,884.617562,884.006970,884.368721
20210913,886.585224,886.946804,886.198588,886.560169
20210914,887.626351,888.230316,887.037047,887.641012
20210915,889.043954,889.077120,888.613106,888.646272
20210916,890.244484,890.272250,889.985472,890.013239
20210917,891.131488,891.543783,890.960237,891.372532
20210920,893.003471,893.868393,892.613790,893.478712
20210921,894.963855,895.545693,894.291323,894.873161
20210922,896.532962,896.567202,896.476197,896.510438
20210923,897.793585,898.080676,897.776531,898.063621
20210924,898.956222,899.917381,898.469630,899.430789
20210927,900.193948,900.545248,899.625597,899.976897
20210928,900.539412,900.837578,899.819242,900.117408
20210929,900.480829,901.292704,900.246317,901.058191
20210930,901.039010,901.720351,900.607791,901.289132
20211001,902.078193,902.775957,901.881150,902.578914
20211004,902.477236,902.671617,902.296604,902.490986
20211005,903.108678,903.493085,902.844357,903.228764
20211006,902.976359,903.281395,902.440443,902.745479
20211007,902.816228,903.572362,902.366915,903.123048
20211008,902.699878,903.059903,901.788817,902.148841
20211011,901.604225,902.604614,901.117417,902.117806
20211012,902.136484,902.156754,901.638403,901.658672
20211013,901.830552,902.010769,901.497049,901.677266
20211014,901.106979,901.342487,900.379889,900.615397
20211015,900.086302,900.416102,900.038543,900.368343
20211018,900.392765,901.007794,900.062229,900.677257
20211019,899.540033,899.789884,899.295097,899.544948
20211020,898.354001,899.271930,898.013571,898.931500
20211021,898.004989,898.698911,897.655780,898.349702
20211022,897.021765,897.319572,896.305838,896.603645
20211025,894.948299,895.604400,894.631672,895.287773
20211026,893.336262,893.875587,892.253970,892.793295
20211027,891.969944,892.245636,891.882548,892.158240
20211028,891.160390,891.728686,890.428199,890.996496
20211029,889.596417,889.965856,889.468485,889.837924
20211101,888.492768,888.572839,887.824205,887.904276
20211102,885.883183,886.147617,885.847901,886.112335
20211103,884.419609,885.249362,884.049859,884.879613
20211104,882.723863,883.110426,882.246999,882.633562
20211105,880.131511,880.571538,879.949720,880.389747
20211108,877.896638,878.704244,877.453119,878.260725
20211109,876.156895,876.381409,876.064477,876.288990
20211110,874.254416,874.600709,873.429601,873.775893
20211111,872.033890,872.822766,871.592923,872.381798
20211112,870.257884,870.478319,869.657918,869.878353
20211115,867.520807,868.201797,867.376644,868.057634
20211116,865.934791,866.596871,865.534299,866.196378
20211117,863.595648,864.147320,862.510400,863.062071
20211118,860.163651,861.211947,859.633082,860.681378
20211119,857.702794,858.429804,857.283445,858.010455
20211122,854.716946,855.247745,853.898794,854.429593
20211123,851.382562,851.420442,851.041419,851.079299
20211124,847.726636,848.072195,847.277735,847.623294
20211125,844.111123,844.335128,843.660899,843.884904
20211126,840.659363,841.503144,840.208968,841.052749
20211129,837.737504,838.221159,836.929566,837.413221
20211130,833.928812,834.903964,833.535855,834.511007
20211201,830.719049,831.263108,829.945422,830.489480
20211202,827.524198,828.034167,827.416719,827.926687
20211203,824.414228,824.733572,824.322963,824.642307
20211206,821.118848,821.248953,820.840751,820.970856
20211207,817.279984,817.295740,817.070152,817.085908
20211208,814.045415,814.951652,813.685667,814.591904
20211209,810.382348,811.005208,810.140246,810.763106
20211210,806.223012,806.311261,805.719440,805.807688
20211213,802.245556,803.099100,801.684666,802.538210
20211214,798.983398,799.561173,798.556205,799.133980
20211215,795.030661,795.762361,794.791892,795.523592
20211216,791.489567,792.079405,791.057707,791.647545
20211217,786.780468,787.556706,786.452011,787.228248
20211220,782.649339,782.711500,782.572677,782.634838
20211221,778.746243,778.855796,778.111921,778.221474
20211222,773.763647,773.850314,773.197249,773.283916
20211223,768.526418,768.816508,767.858223,768.148313
20211224,763.887347,764.140441,763.186874,763.439968
20211227,758.634117,759.118099,758.480470,758.964452
20211228,754.330823,754.780280,753.459983,753.909440
20211229,748.914945,749.057631,748.685334,748.828020
20211230,743.481296,744.000792,743.331708,743.851204
20211231,739.159280,739.517813,739.139252,739.497785
20220103,734.497443,734.581240,734.396294,734.480092
20220104,729.329304,729.921837,728.204958,728.797491
20220105,723.729169,724.727654,723.213972,724.212457
20220106,719.647445,719.773540,719.560074,719.686169
20220107,713.989303,713.997442,713.725524,713.733663
20220110,708.200066,709.071996,707.865764,708.737694
20220111,703.406220,703.893592,703.052972,703.540344
