Date,Open,High,Low,Close
20210101,1.381283,1.384404,1.375161,1.378283
20210104,1.376126,1.377549,1.372669,1.374093
20210105,1.374551,1.377691,1.370895,1.374036
20210106,1.376523,1.378432,1.374718,1.376627
20210107,1.374434,1.379516,1.371096,1.376178
20210108,1.379010,1.380455,1.378333,1.379779
20210111,1.383392,1.385091,1.378844,1.380544
20210112,1.381303,1.384074,1.375937,1.378708
20210113,1.387964,1.390240,1.384045,1.386321
20210114,1.388969,1.392592,1.383506,1.387129
20210115,1.388946,1.392202,1.383641,1.386897
20210118,1.391592,1.394981,1.391431,1.394819
20210119,1.400038,1.403588,1.395547,1.399097
20210120,1.403955,1.408253,1.402291,1.406589
20210121,1.413081,1.414947,1.412191,1.414056
20210122,1.426433,1.429147,1.424897,1.427611
20210125,1.438983,1.442306,1.437640,1.440963
20210126,1.454170,1.457390,1.453281,1.456500
20210127,1.472508,1.476101,1.465555,1.469148
20210128,1.480084,1.483460,1.475225,1.478601
20210129,1.492827,1.498347,1.491119,1.496639
20210201,1.512840,1.516216,1.508785,1.512162
20210202,1.526882,1.529651,1.520674,1.523443
20210203,1.538718,1.542011,1.535377,1.538670
20210204,1.554123,1.559599,1.550363,1.555839
20210205,1.569980,1.575288,1.568471,1.573779
20210208,1.589619,1.592540,1.584343,1.587265
20210209,1.600430,1.602997,1.594504,1.597071
20210210,1.614045,1.615338,1.611149,1.612442
20210211,1.628989,1.631343,1.627741,1.630095
20210212,1.651448,1.652249,1.650279,1.651080
20210215,1.674389,1.676897,1.669240,1.671748
20210216,1.687301,1.689352,1.683689,1.685741
20210217,1.703382,1.704154,1.701053,1.701825
20210218,1.721405,1.724423,1.717269,1.720286
20210219,1.738602,1.740247,1.736063,1.737708
20210222,1.761931,1.766698,1.759693,1.764460
20210223,1.785391,1.787743,1.783849,1.786201
20210224,1.804964,1.808763,1.798655,1.802454
20210225,1.824460,1.829486,1.820581,1.825607
20210226,1.848124,1.848762,1.847099,1.847736
20210301,1.868970,1.872622,1.868873,1.872526
20210302,1.895728,1.896786,1.892049,1.893107
20210303,1.920220,1.921276,1.919771,1.920828
20210304,1.947781,1.949733,1.947360,1.949312
20210305,1.974439,1.977664,1.968409,1.971634
20210308,2.002549,2.005382,2.001454,2.004287
20210309,2.035466,2.039266,2.034518,2.038319
20210310,2.065139,2.067801,2.059302,2.061964
20210311,2.091694,2.095002,2.088540,2.091849
20210312,2.118549,2.120171,2.116669,2.118292
20210315,2.152395,2.154847,2.147673,2.150125
20210316,2.181140,2.181967,2.180201,2.181027
20210317,2.211554,2.214005,2.211021,2.213472
20210318,2.241212,2.245157,2.236838,2.240783
20210319,2.271848,2.272656,2.269961,2.270770
20210322,2.304140,2.308554,2.301976,2.306390
20210323,2.333385,2.340245,2.329611,2.336470
20210324,2.369703,2.370909,2.367450,2.368657
20210325,2.397941,2.400844,2.397408,2.400310
20210326,2.430410,2.434080,2.429837,2.433507
20210329,2.465076,2.466459,2.464297,2.465680
20210330,2.501369,2.505911,2.498795,2.503336
20210331,2.534567,2.539546,2.533497,2.538476
20210401,2.569510,2.570796,2.567508,2.568793
20210402,2.605106,2.610103,2.601276,2.606273
20210405,2.643029,2.646010,2.640808,2.643790
20210406,2.675831,2.676390,2.672905,2.673464
20210407,2.708807,2.713491,2.705238,2.709923
20210408,2.745009,2.748778,2.739488,2.743257
20210409,2.782626,2.785459,2.781443,2.784276
20210412,2.819407,2.820816,2.818784,2.820193
20210413,2.857314,2.861916,2.855199,2.859801
20210414,2.900608,2.901075,2.899806,2.900273
20210415,2.941999,2.942802,2.938855,2.939658
20210416,2.974809,2.978799,2.970448,2.974439
