Date,Open,High,Low,Close
20210101,109.872029,110.297543,109.719640,110.145154
20210104,109.914364,110.026683,109.523906,109.636226
20210105,109.898500,109.914513,109.897042,109.913055
20210106,109.924811,110.912248,109.437123,110.424560
20210107,110.998501,111.180700,110.765894,110.948093
20210108,111.449622,111.900432,110.670807,111.121617
20210111,111.980125,112.401802,111.893116,112.314793
20210112,112.775771,113.214805,112.634320,113.073354
20210113,113.398762,113.636309,112.851212,113.088760
20210114,113.618538,113.854143,113.287384,113.522989
20210115,114.885230,115.132371,114.679740,114.926881
20210118,115.984601,116.429888,115.436926,115.882213
20210119,116.883039,117.670726,116.410804,117.198491
20210120,118.554417,118.976119,117.700076,118.121778
20210121,119.399556,119.882248,118.578716,119.061408
20210122,120.394133,120.928348,120.166166,120.700381
20210125,122.162930,122.830505,121.944358,122.611933
20210126,123.511732,123.953937,122.955636,123.397840
20210127,125.540314,125.860738,125.515738,125.836163
20210128,127.736678,128.133015,127.396665,127.793001
20210129,129.521581,129.934539,128.695112,129.108071
20210201,130.718660,131.345125,130.249023,130.875488
20210202,132.286351,132.332984,131.748609,131.795242
20210203,134.145929,134.934971,133.822229,134.611271
20210204,136.545773,136.948564,135.758979,136.161770
20210205,138.343048,138.818451,138.045967,138.521370
20210208,141.137095,141.648657,140.711600,141.223162
20210209,143.933914,144.401304,143.053136,143.520526
20210210,145.995519,146.359104,145.820535,146.184120
20210211,148.118989,148.654661,147.883430,148.419102
20210212,150.551844,150.941779,150.015598,150.405532
20210215,152.611382,152.815985,152.429735,152.634337
20210216,155.343002,156.187264,154.941214,155.785476
20210217,158.064249,158.144874,157.505284,157.585909
20210218,160.070429,160.378862,159.337174,159.645607
20210219,162.427258,162.626716,161.877694,162.077152
20210222,164.662515,164.918379,164.299205,164.555069
20210223,167.619981,168.234835,167.292966,167.907820
20210224,170.399476,170.758592,169.752398,170.111513
20210225,172.563619,172.782440,172.334674,172.553496
20210226,175.525360,175.730898,175.513876,175.719414
20210301,179.193520,180.020838,178.833977,179.661295
20210302,183.139092,183.315617,182.740511,182.917036
20210303,186.190900,186.613038,185.912004,186.334142
20210304,189.889693,190.101775,189.759584,189.971666
20210305,193.571895,193.791625,192.874890,193.094620
20210308,196.729010,196.984477,196.453915,196.709383
20210309,199.855178,200.411875,199.497405,200.054102
20210310,203.459789,203.785343,203.154139,203.479693
20210311,206.367334,206.377688,205.871970,205.882325
20210312,208.847466,209.280263,208.687927,209.120724
20210315,213.181475,213.697086,213.034862,213.550472
20210316,217.100836,217.344561,216.496075,216.739799
20210317,220.738812,221.019661,220.144232,220.425081
20210318,224.165659,224.922505,223.844189,224.601035
20210319,228.466827,228.766464,227.945350,228.244987
20210322,231.857154,232.088675,231.350770,231.582291
20210323,236.197487,236.669938,235.324072,235.796523
20210324,239.184294,239.665030,238.974262,239.454998
20210325,243.424573,243.623032,243.240613,243.439072
20210326,247.395036,247.502869,246.844095,246.951928
20210329,251.017108,251.480002,250.848301,251.311195
20210330,255.974623,256.474349,255.750431,256.250157
20210331,259.925438,260.678869,259.513416,260.266848
20210401,264.376426,264.655561,263.734130,264.013264
20210402,267.880340,268.301294,267.799150,268.220104
20210405,273.010346,273.193157,272.725018,272.907830
20210406,277.103035,277.107870,277.031257,277.036093
20210407,281.160580,281.372142,281.153316,281.364878
20210408,285.918913,286.290889,285.756017,286.127993
20210409,289.998757,290.574263,289.704644,290.280150
20210412,294.949279,295.213211,294.846088,295.110020
20210413,300.051891,300.522211,299.595688,300.066009
20210414,304.490171,304.806283,303.835247,304.151358
20210415,308.196108,308.951910,307.846155,308.601957
20210416,313.034093,313.460473,312.890222,313.316602
20210419,318.119817,318.308413,317.542533,317.731130
20210420,322.609295,322.817305,322.070668,322.278678
20210421,326.709857,327.158590,326.111620,326.560352
20210422,331.178203,331.538627,330.825999,331.186423
20210423,336.519227,336.889189,335.878909,336.248872
20210426,341.035849,341.405598,340.201923,340.571672
20210427,346.056938,346.753630,345.616773,346.313465
20210428,351.701999,352.135074,351.118614,351.551688
20210429,356.271603,356.507525,355.654043,355.889965
20210430,361.129229,361.236456,360.663482,360.770710
20210503,365.294674,365.684178,364.950526,365.340030
20210504,370.626225,371.454015,370.256525,371.084316
20210505,376.055859,376.781673,375.691250,376.417064
20210506,380.757120,381.129976,379.893255,380.266110
20210507,385.719592,385.722725,385.466061,385.469194
20210510,390.733114,391.222722,390.216316,390.705923
20210511,395.942860,396.492468,395.837122,396.386731
20210512,401.128529,401.712651,401.008320,401.592441
20210513,406.848523,407.123291,406.569031,406.843799
20210514,412.287313,412.748246,412.150082,412.611016
20210517,417.538188,418.385351,417.043249,417.890412
20210518,422.277066,422.673202,421.542550,421.938687
20210519,426.960928,427.585995,426.644006,427.269074
20210520,431.922277,432.402175,431.001711,431.481609
20210521,436.150779,436.952209,435.804261,436.605690
20210524,441.257195,441.267633,440.911677,440.922114
20210525,446.060836,446.700354,445.586056,446.225574
20210526,451.097055,451.304383,450.578733,450.786061
20210527,456.032946,456.268047,455.394491,455.629592
20210528,460.235710,460.441833,460.226573,460.432696
20210531,465.574049,466.329193,465.316627,466.071772
20210601,470.819288,471.373171,470.616899,471.170782
20210602,476.000011,476.513314,475.907162,476.420466
20210603,480.953448,481.474380,480.812949,481.333880
20210604,486.563759,486.893035,486.179364,486.508640
20210607,491.072881,491.180546,490.717231,490.824896
20210608,495.750282,495.958797,495.281727,495.490242
20210609,500.733460,501.464222,500.449955,501.180716
20210610,506.457561,506.471886,506.065513,506.079839
20210611,510.641361,511.069138,509.889178,510.316955
20210614,515.739659,516.548434,515.332222,516.140997
20210615,520.525098,520.725501,520.112550,520.312953
20210616,525.354389,525.579918,525.352613,525.578142
20210617,530.076782,530.674955,529.604991,530.203165
20210618,535.273910,535.694116,534.568581,534.988787
20210621,539.383963,539.438802,538.881687,538.936526
20210622,542.982674,543.110468,542.876493,543.004287
20210623,548.100420,548.473786,547.464086,547.837452
20210624,552.806863,552.998443,552.625212,552.816792
20210625,557.666613,557.686607,557.560298,557.580292
20210628,562.653227,562.955483,562.093716,562.395972
20210629,567.365528,568.121166,566.880320,567.635959
20210630,572.170473,572.675275,571.892710,572.397512
20210701,576.541097,576.852039,576.460391,576.771333
20210702,581.192307,581.483545,580.403348,580.694586
20210705,585.460040,585.845752,585.151537,585.537249
20210706,590.333414,590.840701,589.903092,590.410379
20210707,594.584375,594.981284,594.030407,594.427316
20210708,599.282588,600.078166,598.847485,599.643062
20210709,604.219370,604.548700,604.205209,604.534539
20210712,608.389215,609.160851,607.936709,608.708345
20210713,613.391673,613.618187,613.305933,613.532448
20210714,617.657470,617.710559,617.515857,617.568946
20210715,621.576356,622.028465,620.905443,621.357551
20210716,624.826589,625.273009,624.611435,625.057855
20210719,629.213644,629.251834,628.963038,629.001228
20210720,632.331789,632.916268,631.832555,632.417035
20210721,636.030819,636.410404,635.857243,636.236828
20210722,640.328660,640.460100,639.870884,640.002324
20210723,644.108368,644.392552,643.398424,643.682609
20210726,647.852183,648.181686,647.545150,647.874652
20210727,652.006231,652.599413,651.753392,652.346574
20210728,655.760349,656.242430,655.488000,655.970081
20210729,659.660496,659.935377,658.918292,659.193173
20210730,662.868160,663.712337,662.465072,663.309250
20210802,666.474956,666.821890,666.394090,666.741024
20210803,670.230417,670.460782,670.189748,670.420113
20210804,673.370544,673.631265,672.612340,672.873062
20210805,676.059917,676.486621,675.673734,676.100437
20210806,679.772043,679.860545,679.201330,679.289833
20210809,682.479478,682.732444,682.093611,682.346577
20210810,685.564531,685.774360,685.128186,685.338015
20210811,688.317311,688.619488,688.170234,688.472411
20210812,691.868988,692.361808,691.002413,691.495233
20210813,694.253221,694.495607,693.757224,693.999609
20210816,696.589783,696.854734,696.500258,696.765209
20210817,699.289741,700.097588,698.961135,699.768981
20210818,702.581787,703.173786,702.489505,703.081504
20210819,705.955310,706.177736,705.252475,705.474902
20210820,707.762838,708.208630,706.957855,707.403648
20210823,709.421677,709.891088,708.810211,709.279622
20210824,711.596491,712.131669,711.103485,711.638663
20210825,714.316883,714.440025,714.301102,714.424244
20210826,717.213506,717.703173,716.645235,717.134903
20210827,719.853555,719.991264,719.234368,719.372076
20210830,721.162775,721.619338,720.556276,721.012839
20210831,723.381825,724.078678,722.952893,723.649746
20210901,725.477271,726.094706,725.168077,725.785512
20210902,728.121116,728.542989,727.367300,727.789173
20210903,730.053076,730.642759,729.607411,730.197095
20210906,732.031295,732.267510,731.970205,732.206419
20210907,734.429938,735.073112,734.147116,734.790290
20210908,736.045401,736.937072,735.553219,736.444890
20210909,738.363633,738.757611,738.233984,738.627962
20210910,740.085203,740.418834,739.420959,739.754590
20210913,740.785914,741.492661,740.472674,741.179422
20210914,742.732173,743.076827,742.191633,742.536287
20210915,744.012537,744.109124,743.714503,743.811091
20210916,744.881420,745.351818,744.479247,744.949646
20210917,746.495497,746.630636,746.031526,746.166665
20210920,747.275886,748.081047,746.969869,747.775030
20210921,748.319157,748.415871,747.870024,747.966739
20210922,748.615624,749.498186,748.127960,749.010522
20210923,750.173214,750.626001,749.602938,750.055725
20210924,751.182766,751.684672,751.113080,751.614987
20210927,752.631363,753.241706,752.292615,752.902958
20210928,753.702410,754.228926,753.540454,754.066969
20210929,755.174447,755.187682,754.743281,754.756516
20210930,755.148310,755.796998,754.987643,755.636331
20211001,756.273609,756.615990,755.691456,756.033837
20211004,756.122142,756.573247,755.274734,755.725838
20211005,755.448453,756.187313,754.991555,755.730415
20211006,755.394326,755.895627,755.337162,755.838463
20211007,755.346576,755.890159,754.991937,755.535520
20211008,755.700294,756.050187,755.084040,755.433933
20211011,755.567109,756.082395,755.322969,755.838255
20211012,756.048015,756.426156,755.290512,755.668652
20211013,755.633900,755.866986,755.264604,755.497690
20211014,755.275659,755.916507,754.812606,755.453455
20211015,754.926500,755.356490,754.558328,754.988318
20211018,754.415148,754.846567,753.527647,753.959067
20211019,753.634767,753.816953,753.084499,753.266684
20211020,752.572957,753.160638,752.466703,753.054384
20211021,751.769380,751.802021,751.425541,751.458182
20211022,750.542994,750.760480,750.094608,750.312093
20211025,749.340499,749.663859,748.573749,748.897109
20211026,747.989277,748.548857,747.910627,748.470207
20211027,747.112200,747.701098,746.701703,747.290601
20211028,745.822668,746.320335,745.568000,746.065667
20211029,744.723926,744.911164,744.410699,744.597936
20211101,743.592426,744.039360,742.973362,743.420296
20211102,742.187511,742.840427,741.783499,742.436415
20211103,741.172027,741.463910,741.086993,741.378877
20211104,740.195577,740.506341,739.621012,739.931776
20211105,738.181205,738.560233,738.018171,738.397199
20211108,736.777978,736.901144,736.761555,736.884721
20211109,734.866088,735.455524,734.731244,735.320680
20211110,733.630104,734.106344,733.316127,733.792367
20211111,731.640982,732.240396,731.407077,732.006491
20211112,729.940197,730.142739,729.846757,730.049300
20211115,727.671270,728.040652,726.819170,727.188551
20211116,724.915304,725.451940,724.819335,725.355970
20211117,723.458153,723.759613,723.140938,723.442399
20211118,721.273751,721.706215,720.531396,720.963860
20211119,719.017390,719.428909,718.428707,718.840226
20211122,716.699953,716.881916,716.331282,716.513246
20211123,713.980091,714.042266,713.856087,713.918261
20211124,711.216355,711.436224,710.651140,710.871009
20211125,708.717393,709.261447,708.503018,709.047072
20211126,706.049171,706.400699,705.796550,706.148078
20211129,703.833821,704.343443,703.447170,703.956793
20211130,701.339145,701.640158,701.054840,701.355854
20211201,698.303747,698.739365,697.505731,697.941348
20211202,695.212478,695.674158,694.348384,694.810064
20211203,692.270670,692.597040,691.678772,692.005142
20211206,688.627245,688.655134,688.457741,688.485631
20211207,685.351303,686.069363,685.088397,685.806458
20211208,683.103694,683.428043,682.350255,682.674604
20211209,679.209383,679.576519,678.407712,678.774848
20211210,675.626660,676.027013,674.728532,675.128885
20211213,672.093327,672.198876,671.550072,671.655621
20211214,667.971018,668.413284,667.353633,667.795899
20211215,664.384759,664.626461,664.083122,664.324825
20211216,660.656328,660.787877,660.613883,660.745432
20211217,657.120076,657.519133,656.832609,657.231667
20211220,653.520604,653.717315,653.159598,653.356310
20211221,650.005235,650.356262,649.724817,650.075845
20211222,646.260259,646.917484,646.087809,646.745035
20211223,643.433875,643.992078,643.065269,643.623472
20211224,639.436495,639.836510,638.863521,639.263537
20211227,635.631644,636.158843,635.384430,635.911629
20211228,632.313245,632.636701,632.215086,632.538543
20211229,628.328521,628.769980,627.913962,628.355421
20211230,623.979770,624.351951,623.620134,623.992316
20211231,620.323150,620.594753,619.733144,620.004748
20220103,615.680848,615.784535,615.620208,615.723894
20220104,611.835450,612.155327,611.707624,612.027501
20220105,608.106065,608.238997,607.996915,608.129848
20220106,603.585070,604.380003,603.139776,603.934709
20220107,600.041926,600.403600,599.664770,600.026444
20220110,595.517766,595.602642,595.274733,595.359609
20220111,590.600465,590.785943,590.561425,590.746903
20220112,587.102581,587.753430,586.854495,587.505344
20220113,582.853285,582.855645,582.516226,582.518586
20220114,578.289484,578.698394,577.658534,578.067444
20220117,573.981426,574.444226,573.331013,573.793812
20220118,569.819851,570.039828,569.288540,569.508517
20220119,565.033002,565.849958,564.648152,565.465108
20220120,561.502725,561.851160,560.901890,561.250325
20220121,557.096729,557.146036,556.905413,556.954719
20220124,552.167514,552.664090,551.273513,551.770089
20220125,547.169102,547.602436,546.706551,547.139885
20220126,543.086932,543.135569,542.965920,543.014557
20220127,538.078068,538.557972,538.020780,538.500683
20220128,533.430607,533.853017,533.334010,533.756420
20220131,529.395519,529.959444,529.243347,529.807272
20220201,524.669883,524.693714,524.474853,524.498684
20220202,520.002146,520.495895,519.994765,520.488514
20220203,515.138359,515.307920,515.046076,515.215637
20220204,510.691462,510.979283,510.521062,510.808883
20220207,506.202543,506.745376,505.968550,506.511382
20220208,502.056452,502.257713,501.382222,501.583483
20220209,496.335489,496.446750,496.079738,496.190999
20220210,491.013015,491.253997,490.719980,490.960962
20220211,485.846636,486.690621,485.351999,486.195984
20220214,481.358300,482.074135,480.984825,481.700660
20220215,477.339487,477.700886,476.848513,477.209912
20220216,472.437512,472.944431,472.247603,472.754522
20220217,467.846847,468.326364,467.150997,467.630514
20220218,462.321303,462.552032,461.633733,461.864462
20220221,457.137450,457.881658,456.703737,457.447945
20220222,452.748042,453.244284,452.243368,452.739610
20220223,447.801385,448.252581,446.951725,447.402921
20220224,442.040700,442.436310,441.580106,441.975716
20220225,437.427932,438.221657,437.131364,437.925089
20220228,432.569575,432.832578,432.246147,432.509150
20220301,427.899641,428.305986,427.101110,427.507455
20220302,423.160892,423.847410,422.868377,423.554894
20220303,418.241938,418.590667,417.501066,417.849794
20220304,413.056303,413.483380,412.259340,412.686417
20220307,407.769937,408.454634,407.551488,408.236184
20220308,403.491541,403.925372,402.566134,402.999965
20220309,398.023783,398.261450,398.009934,398.247600
20220310,393.846774,394.331312,392.869862,393.354400
20220311,388.390670,388.837541,387.650673,388.097544
20220314,383.703460,383.727069,383.610353,383.633963
20220315,378.572108,379.151005,378.458241,379.037138
20220316,373.470310,373.741772,372.713470,372.984933
20220317,368.093505,368.650306,367.845949,368.402750
20220318,363.807731,364.104815,363.776041,364.073125
20220321,359.766919,360.616462,359.382311,360.231853
20220322,355.868582,356.173954,355.331246,355.636617
20220323,350.513924,350.714441,350.178941,350.379459
20220324,345.134209,345.694071,344.754967,345.314829
20220325,340.675057,341.086445,339.921417,340.332804
20220328,335.039173,335.204455,334.457756,334.623038
20220329,329.936013,330.474173,329.487626,330.025786
20220330,325.299113,325.441377,324.867364,325.009628
20220331,320.365340,320.695590,320.180185,320.510435
20220401,315.670740,315.740903,315.254309,315.324471
20220404,311.035439,311.655720,310.846148,311.466429
20220405,306.931535,307.527520,306.560042,307.156027
20220406,302.393055,302.749004,301.939769,302.295718
20220407,297.210844,297.755681,297.045722,297.590558
20220408,293.256636,293.536275,293.074809,293.354449
20220411,289.335585,289.819795,289.041740,289.525950
20220412,285.447857,285.839002,285.350512,285.741658
20220413,281.330789,281.822169,281.104510,281.595890
20220414,277.262237,278.121722,276.867356,277.726841
20220415,272.890519,273.534617,272.567898,273.211996
20220418,268.696703,268.838543,268.280448,268.422287
20220419,264.417093,264.488789,264.356223,264.427918
20220420,260.463298,260.791563,259.957981,260.286246
20220421,256.182295,256.649588,255.337492,255.804785
20220422,251.946642,251.970368,251.936532,251.960258
20220425,248.334224,248.554763,248.100405,248.320944
20220426,244.520620,244.795081,244.221111,244.495571
20220427,240.562276,241.086033,240.437296,240.961053
20220428,236.474707,236.947967,235.952805,236.426066
20220429,232.310819,232.389486,232.052934,232.131601
20220502,228.334167,228.637051,227.791303,228.094187
20220503,224.450847,224.676826,224.182903,224.408882
20220504,220.925207,221.210977,220.463911,220.749681
20220505,217.239445,217.838095,216.846847,217.445498
20220506,214.049853,214.376532,213.827090,214.153770
20220509,211.069115,211.549137,210.112457,210.592479
20220510,207.346335,207.898083,207.141627,207.693375
20220511,203.787056,204.201269,203.161455,203.575668
20220512,200.153658,200.444525,200.041473,200.332340
20220513,197.018878,197.509828,197.001179,197.492129
20220516,194.063382,194.937507,193.647676,194.521801
20220517,191.819117,192.457485,191.343891,191.982259
20220518,188.966155,189.530177,188.817765,189.381787
20220519,186.410633,186.782537,185.666723,186.038627
20220520,182.805081,183.383660,182.465825,183.044404
20220523,180.543145,180.743607,180.051529,180.251992
20220524,177.603180,178.148538,177.517000,178.062358
20220525,175.202899,175.533426,174.936077,175.266604
20220526,172.982717,173.280498,172.766270,173.064050
