Date,Open,High,Low,Close
20210101,1835.217029,1859.523630,1825.335669,1849.642270
20210104,1874.391254,1887.200830,1859.950659,1872.760236
20210105,1879.509475,1904.679905,1868.389374,1893.559805
20210106,1909.627047,1928.104218,1904.416261,1922.893432
20210107,1924.888009,1935.042034,1911.759660,1921.913685
20210108,1932.624475,1947.738899,1927.166461,1942.280886
20210111,1953.428409,1965.397105,1952.336147,1964.304843
20210112,1977.995383,1991.217875,1954.829502,1968.051993
20210113,1980.058890,2001.045336,1971.737598,1992.724045
20210114,2024.802972,2047.253971,2011.327719,2033.778718
20210115,2066.181476,2069.220593,2065.438049,2068.477166
20210118,2101.720459,2104.201215,2101.514828,2103.995585
20210119,2136.565632,2147.988945,2113.561063,2124.984376
20210120,2162.936631,2177.875877,2161.720206,2176.659452
20210121,2217.043329,2221.510233,2199.320155,2203.787058
20210122,2221.965223,2227.991981,2220.863641,2226.890398
20210125,2260.056264,2266.847945,2245.373654,2252.165335
20210126,2296.973213,2308.159966,2288.404773,2299.591527
20210127,2327.594374,2347.844000,2321.581734,2341.831360
20210128,2392.429326,2394.061811,2385.020894,2386.653380
20210129,2441.566933,2455.543975,2433.758885,2447.735927
20210201,2508.346024,2512.144004,2502.222905,2506.020884
20210202,2562.246705,2579.103852,2550.925110,2567.782257
20210203,2631.708052,2656.927356,2617.739103,2642.958407
20210204,2706.271622,2720.420132,2688.323882,2702.472392
20210205,2742.438792,2750.013299,2737.057409,2744.631916
20210208,2805.364973,2820.135996,2803.912527,2818.683550
20210209,2895.651831,2908.303671,2873.939033,2886.590872
20210210,2947.190705,2961.458635,2939.499764,2953.767694
20210211,3022.053681,3032.748436,3021.480392,3032.175147
20210212,3095.665922,3106.404199,3079.031296,3089.769573
20210215,3167.341829,3177.055930,3165.014482,3174.728584
20210216,3255.213936,3264.714620,3249.684930,3259.185614
20210217,3341.035809,3344.890703,3327.059726,3330.914620
20210218,3395.145481,3413.302458,3389.664145,3407.821122
20210219,3489.524582,3491.921325,3488.665233,3491.061975
20210222,3565.897058,3573.504896,3562.594130,3570.201967
20210223,3662.225155,3665.734174,3646.570315,3650.079334
20210224,3730.386700,3742.937251,3718.593146,3731.143697
20210225,3821.968847,3829.545276,3816.499615,3824.076044
20210226,3929.586988,3935.528163,3913.490892,3919.432068
20210301,4024.851583,4038.898147,4007.466159,4021.512724
20210302,4122.816102,4135.141970,4110.007937,4122.333805
20210303,4220.925920,4223.346537,4206.130616,4208.551233
20210304,4321.001019,4334.893874,4310.312707,4324.205561
20210305,4425.050572,4439.341258,4408.234199,4422.524884
20210308,4513.588229,4519.648660,4507.025496,4513.085927
20210309,4625.197358,4648.100125,4615.357436,4638.260203
20210310,4751.010829,4757.786118,4736.543063,4743.318352
20210311,4847.698886,4862.559618,4846.752675,4861.613407
20210312,4957.099794,4966.394480,4940.742837,4950.037523
20210315,5063.900513,5074.624958,5052.017486,5062.741931
20210316,5187.349202,5192.611271,5179.227890,5184.489960
20210317,5302.006009,5303.318916,5288.158751,5289.471658
20210318,5408.906977,5414.638302,5390.494022,5396.225348
20210319,5511.385660,5517.661578,5508.050778,5514.326696
20210322,5640.738882,5647.715102,5636.319915,5643.296134
20210323,5746.845292,5760.371698,5722.259853,5735.786259
20210324,5851.532231,5860.322858,5846.750062,5855.540689
20210325,5969.239974,5976.895620,5954.582070,5962.237717
20210326,6077.908808,6081.020711,6072.863063,6075.974965
20210329,6214.493490,6224.613011,6190.014968,6200.134489
20210330,6322.365238,6341.555361,6312.716309,6331.906432
20210331,6456.035514,6469.191906,6447.331813,6460.488204
20210401,6577.612363,6596.905874,6569.891820,6589.185331
20210402,6734.313935,6761.026587,6721.537095,6748.249747
20210405,6872.701942,6878.215777,6855.999809,6861.513644
20210406,6979.347604,7004.904315,6967.928133,6993.484844
20210407,7128.613581,7144.032754,7121.479700,7136.898874
20210408,7276.364692,7292.548684,7267.128511,7283.312503
20210409,7419.940180,7429.065191,7398.553884,7407.678896
20210412,7543.843754,7555.082240,7535.298013,7546.536499
20210413,7699.606773,7718.621167,7687.405396,7706.419790
20210414,7845.240133,7851.476159,7832.160221,7838.396247
20210415,7977.342329,7988.904635,7973.617287,7985.179594
20210416,8122.745432,8137.845533,8118.173273,8133.273374
20210419,8279.598055,8296.543159,8272.599781,8289.544885
20210420,8422.109085,8426.670600,8406.148801,8410.710316
20210421,8572.952335,8592.677494,8567.609213,8587.334372
20210422,8733.378122,8743.181727,8709.263503,8719.067109
20210423,8862.999667,8884.045366,8850.140466,8871.186165
20210426,9026.743972,9027.894761,9015.723713,9016.874502
20210427,9166.827072,9195.732329,9152.611062,9181.516319
20210428,9317.817681,9319.633268,9310.712169,9312.527756
20210429,9450.634152,9476.132230,9436.882592,9462.380670
20210430,9619.112092,9630.578582,9604.389035,9615.855525
20210503,9766.940249,9770.762018,9761.875441,9765.697209
20210504,9901.557012,9910.156129,9879.447792,9888.046909
