Date,Open,High,Low,Close
20210101,129.537852,130.040226,128.621881,129.124256
20210104,129.907469,130.541337,129.581493,130.215361
20210105,130.543059,130.594567,129.981651,130.033159
20210106,129.846248,130.144354,129.615372,129.913478
20210107,130.837640,131.678401,130.492145,131.332906
20210108,131.606841,131.637373,131.151921,131.182453
20210111,131.750202,132.008339,131.196336,131.454473
20210112,131.989754,132.529650,131.589243,132.129139
20210113,132.614063,133.192677,131.839447,132.418061
20210114,133.991358,134.439102,133.503040,133.950784
20210115,135.440200,136.014138,135.160684,135.734621
20210118,137.421062,137.764391,136.562802,136.906130
20210119,138.291901,139.024811,138.087842,138.820752
20210120,139.982670,140.423904,139.332304,139.773538
20210121,141.217123,141.703513,140.663829,141.150218
20210122,143.015553,143.477932,142.009842,142.472220
20210125,144.047843,144.316299,143.842190,144.110645
20210126,146.002497,146.829184,145.653437,146.480124
20210127,148.431441,149.406171,148.003663,148.978392
20210128,151.138939,151.604417,150.247496,150.712974
20210129,152.748746,153.163955,151.927763,152.342972
20210201,154.387065,154.964686,153.759395,154.337017
20210202,156.391459,156.883828,156.005483,156.497852
20210203,158.495066,158.891357,158.424954,158.821245
20210204,160.680881,160.775083,160.455982,160.550184
20210205,163.183043,163.239048,162.750070,162.806075
20210208,165.025281,165.531643,164.356355,164.862717
20210209,167.633372,167.963353,167.067269,167.397249
20210210,170.144484,170.427170,169.965630,170.248316
20210211,173.482364,173.888185,172.886551,173.292372
20210212,175.753170,175.757939,175.287129,175.291899
20210215,177.527533,178.063503,176.691990,177.227960
20210216,179.592536,180.548854,179.133583,180.089900
20210217,183.736083,183.966779,183.702301,183.932996
20210218,187.252082,188.193181,186.667191,187.608291
20210219,191.499392,191.770195,190.724665,190.995468
20210222,194.457629,194.896597,194.169457,194.608424
20210223,197.823864,198.387667,196.684297,197.248101
20210224,200.998256,201.750231,200.618429,201.370404
20210225,204.821503,205.280785,204.001840,204.461122
20210226,207.663402,207.952990,207.045228,207.334816
20210301,211.140868,211.439273,210.544753,210.843158
20210302,214.283729,214.345408,214.190931,214.252610
20210303,217.888717,218.398929,217.502050,218.012262
20210304,221.886865,222.248518,221.218835,221.580487
20210305,225.512442,225.750669,225.044016,225.282243
20210308,229.869781,230.157763,229.371898,229.659881
20210309,233.956229,234.858836,233.446219,234.348826
20210310,239.091067,240.137672,238.582000,239.628605
20210311,243.954220,244.540550,242.935094,243.521423
20210312,246.936530,247.505575,246.857764,247.426809
20210315,252.256794,252.555543,251.666589,251.965338
20210316,256.576330,257.063088,255.604617,256.091376
20210317,260.705518,261.163007,260.475492,260.932980
20210318,265.731251,266.004075,265.339338,265.612162
20210319,269.929348,270.145791,269.719301,269.935744
20210322,275.040365,275.431854,274.802736,275.194225
20210323,280.202974,280.529511,279.756512,280.083049
20210324,284.382212,285.057251,284.263811,284.938850
20210325,289.923800,290.452043,289.284862,289.813104
20210326,294.570846,294.707329,294.326357,294.462840
20210329,299.388978,300.072009,298.790131,299.473162
20210330,304.186382,304.478510,303.788386,304.080514
20210331,309.125016,309.621118,308.168312,308.664413
20210401,313.550816,314.044987,313.089655,313.583826
20210402,319.399313,319.804052,319.028454,319.433193
20210405,323.876628,324.216578,323.623501,323.963451
20210406,329.046233,329.474025,328.303466,328.731257
20210407,333.883227,334.439915,332.749659,333.306347
20210408,338.607115,339.075445,337.910086,338.378416
20210409,343.000540,343.176783,342.858048,343.034291
20210412,348.985431,349.266126,348.922895,349.203590
20210413,354.128509,354.942610,353.664906,354.479006
20210414,359.975135,360.112348,359.251256,359.388470
20210415,365.342398,365.699892,365.261232,365.618725
20210416,370.870400,370.997889,370.534752,370.662242
20210419,376.512743,376.973860,376.220696,376.681813
20210420,382.621005,382.980790,382.268375,382.628160
20210421,388.481628,388.810869,388.480756,388.809997
20210422,394.017074,394.360461,393.138919,393.482306
20210423,398.904860,399.543076,398.691597,399.329813
20210426,405.504053,405.559999,405.071947,405.127892
20210427,410.423755,410.799720,410.093170,410.469136
20210428,416.596074,417.240006,416.144437,416.788369
20210429,422.760473,422.837592,422.454312,422.531431
20210430,428.120634,428.270741,427.785465,427.935571
20210503,434.440017,434.940732,434.351277,434.851992
20210504,440.574750,440.925558,439.931414,440.282222
20210505,445.828839,446.390033,444.967075,445.528269
20210506,452.049772,452.497987,451.394172,451.842387
20210507,457.637614,458.562919,457.037965,457.963270
20210510,463.930272,464.434046,462.943374,463.447148
20210511,469.299153,469.780137,468.720740,469.201724
20210512,474.962055,474.980121,474.601853,474.619920
20210513,480.941878,480.979568,480.805745,480.843435
20210514,486.440022,486.962245,485.520687,486.042910
20210517,491.673041,492.235942,490.877516,491.440417
20210518,496.954736,497.591853,496.644818,497.281935
20210519,504.009665,504.356239,503.634902,503.981476
20210520,510.017812,510.184501,509.999289,510.165978
20210521,516.356494,516.597205,516.042947,516.283658
20210524,522.589136,522.589513,522.518312,522.518689
20210525,528.949218,529.532671,528.633415,529.216868
20210526,535.193739,535.639344,534.290254,534.735859
20210527,541.407788,541.834208,540.503317,540.929737
20210528,547.458089,547.708659,546.656629,546.907199
20210531,552.225915,552.639368,551.493913,551.907365
20210601,557.789889,558.224137,557.660818,558.095066
20210602,563.878082,564.254082,563.621454,563.997455
20210603,569.645876,569.958117,569.285982,569.598224
20210604,575.045869,575.645755,574.239117,574.839003
20210607,580.575938,581.366425,580.026399,580.816885
20210608,586.104657,586.590948,585.540450,586.026741
20210609,591.827489,592.408601,591.507089,592.088201
20210610,598.019639,598.585672,597.263571,597.829604
20210611,604.513632,605.107614,604.323842,604.917824
20210614,611.072642,611.873703,610.783908,611.584969
20210615,617.275400,617.792103,616.520268,617.036971
20210616,622.498175,623.119032,622.118846,622.739702
20210617,629.216599,629.566560,628.399822,628.749782
20210618,634.989329,635.576275,634.012441,634.599387
20210621,639.937227,640.441107,639.925140,640.429019
