Date,Open,High,Low,Close
20210101,1.181670,1.183035,1.178892,1.180257
20210104,1.182386,1.182653,1.179825,1.180092
20210105,1.181585,1.184818,1.179758,1.182991
20210106,1.185188,1.189207,1.182956,1.186975
20210107,1.185730,1.188442,1.185720,1.188433
20210108,1.188981,1.191070,1.184169,1.186258
20210111,1.191634,1.193914,1.189521,1.191801
20210112,1.196822,1.199982,1.194611,1.197771
20210113,1.200043,1.201662,1.198535,1.200153
20210114,1.203209,1.204335,1.200025,1.201151
20210115,1.207525,1.211823,1.205528,1.209826
20210118,1.216932,1.218642,1.212635,1.214345
20210119,1.222208,1.224687,1.218857,1.221336
20210120,1.227992,1.228293,1.226210,1.226512
20210121,1.233274,1.235064,1.231052,1.232843
20210122,1.238865,1.241139,1.236608,1.238881
20210125,1.245378,1.246025,1.243609,1.244256
20210126,1.251671,1.253887,1.251645,1.253861
20210127,1.260698,1.261243,1.258707,1.259252
20210128,1.269817,1.273981,1.268374,1.272538
20210129,1.282192,1.282938,1.278687,1.279434
20210201,1.293066,1.294290,1.288936,1.290159
20210202,1.304127,1.307490,1.302179,1.305542
20210203,1.319092,1.322586,1.318254,1.321748
20210204,1.333645,1.336496,1.331114,1.333965
20210205,1.341759,1.344457,1.337095,1.339793
20210208,1.352951,1.355066,1.348990,1.351105
20210209,1.363415,1.363738,1.360361,1.360684
20210210,1.371996,1.373880,1.369236,1.371120
20210211,1.385199,1.386682,1.381332,1.382815
20210212,1.392859,1.395383,1.390644,1.393168
20210215,1.409160,1.412182,1.408062,1.411084
20210216,1.424106,1.428852,1.421848,1.426593
20210217,1.439524,1.441599,1.437156,1.439231
20210218,1.453324,1.453599,1.453152,1.453427
20210219,1.467340,1.472065,1.465397,1.470121
20210222,1.487289,1.489132,1.482546,1.484389
20210223,1.504553,1.506112,1.501862,1.503420
20210224,1.521081,1.521410,1.519414,1.519743
20210225,1.538330,1.538777,1.536033,1.536480
20210226,1.552280,1.553463,1.549225,1.550408
20210301,1.567653,1.571385,1.564660,1.568391
20210302,1.584724,1.587725,1.584105,1.587106
20210303,1.608060,1.609180,1.605715,1.606835
20210304,1.625261,1.629928,1.622770,1.627437
20210305,1.645748,1.648531,1.641185,1.643968
20210308,1.661756,1.663789,1.658320,1.660353
20210309,1.684571,1.686304,1.681439,1.683171
20210310,1.703477,1.705968,1.700057,1.702548
20210311,1.725156,1.726155,1.721477,1.722476
20210312,1.744024,1.744358,1.743400,1.743734
20210315,1.766614,1.769174,1.762789,1.765348
20210316,1.783719,1.785363,1.780618,1.782262
20210317,1.800807,1.804845,1.798748,1.802785
20210318,1.823409,1.824628,1.820332,1.821551
20210319,1.845564,1.847465,1.844142,1.846042
20210322,1.873514,1.873968,1.871427,1.871882
20210323,1.894866,1.897265,1.890503,1.892903
20210324,1.915017,1.916355,1.911949,1.913287
20210325,1.933426,1.938422,1.931381,1.936377
20210326,1.958543,1.962463,1.957204,1.961124
20210329,1.985175,1.988353,1.982242,1.985419
20210330,2.009632,2.010889,2.007121,2.008378
20210331,2.034292,2.036385,2.031000,2.033093
20210401,2.060612,2.063014,2.059344,2.061746
20210402,2.089197,2.089816,2.089052,2.089672
20210405,2.112277,2.113572,2.108639,2.109935
20210406,2.133660,2.135203,2.129503,2.131047
20210407,2.156205,2.160690,2.153630,2.158116
20210408,2.186989,2.190605,2.185118,2.188733
20210409,2.218332,2.218848,2.215992,2.216508
20210412,2.241055,2.244078,2.238395,2.241418
20210413,2.268882,2.272019,2.267095,2.270233
20210414,2.295799,2.300370,2.293137,2.297708
20210415,2.328154,2.331732,2.326060,2.329638
20210416,2.353985,2.356546,2.350024,2.352585
20210419,2.382252,2.386874,2.380215,2.384837
20210420,2.413791,2.416663,2.409239,2.412111
20210421,2.442333,2.442802,2.439628,2.440097
20210422,2.467360,2.471287,2.465490,2.469417
20210423,2.498176,2.499499,2.495130,2.496453
20210426,2.528513,2.533470,2.526404,2.531362
20210427,2.563163,2.568459,2.560630,2.565926
20210428,2.592139,2.593920,2.590291,2.592073
20210429,2.618985,2.620470,2.615123,2.616608
20210430,2.647414,2.649599,2.646578,2.648763
20210503,2.678044,2.681996,2.675426,2.679378
20210504,2.708559,2.709976,2.704424,2.705841
20210505,2.735992,2.736736,2.733583,2.734328
20210506,2.764092,2.767510,2.762784,2.766202
20210507,2.797238,2.800661,2.795097,2.798520
20210510,2.828813,2.834180,2.825822,2.831189
20210511,2.862198,2.863107,2.861701,2.862610
20210512,2.891301,2.894622,2.889706,2.893027
20210513,2.919206,2.923074,2.916332,2.920199
20210514,2.952542,2.955720,2.950449,2.953627
20210517,2.986060,2.988819,2.980709,2.983468
20210518,3.017276,3.018858,3.016915,3.018497
20210519,3.048621,3.050835,3.043453,3.045667
20210520,3.075730,3.077380,3.072526,3.074176
20210521,3.101961,3.106329,3.099332,3.103700
