Date,Open,High,Low,Close
20210101,1.377664,1.377756,1.373753,1.373845
20210104,1.378754,1.384462,1.376690,1.382398
20210105,1.388617,1.390775,1.384382,1.386541
20210106,1.391483,1.398301,1.387783,1.394601
20210107,1.398552,1.399785,1.398144,1.399378
20210108,1.403147,1.406616,1.398131,1.401600
20210111,1.405755,1.407369,1.404198,1.405811
20210112,1.413395,1.416659,1.407939,1.411203
20210113,1.413080,1.416681,1.410644,1.414245
20210114,1.418227,1.424787,1.415101,1.421661
20210115,1.427804,1.429218,1.423582,1.424995
20210118,1.432170,1.439079,1.428754,1.435662
20210119,1.441011,1.443398,1.436048,1.438435
20210120,1.449832,1.455668,1.446874,1.452710
20210121,1.465555,1.466896,1.460562,1.461903
20210122,1.471430,1.473425,1.465576,1.467571
20210125,1.474926,1.476351,1.472605,1.474030
20210126,1.483619,1.486737,1.480026,1.483144
20210127,1.492204,1.492964,1.489767,1.490527
20210128,1.500781,1.502412,1.497373,1.499005
20210129,1.511460,1.514978,1.504151,1.507669
20210201,1.519983,1.520573,1.516902,1.517493
20210202,1.533693,1.534212,1.529952,1.530472
20210203,1.543921,1.548799,1.542157,1.547035
20210204,1.557926,1.561160,1.552960,1.556194
20210205,1.569835,1.576148,1.567397,1.573710
20210208,1.589760,1.591019,1.589625,1.590884
20210209,1.610310,1.616559,1.607153,1.613401
20210210,1.631963,1.634378,1.625984,1.628399
20210211,1.646268,1.650177,1.640295,1.644204
20210212,1.657930,1.659347,1.653412,1.654829
20210215,1.671644,1.671722,1.670100,1.670179
20210216,1.692558,1.694546,1.691831,1.693818
20210217,1.716193,1.719873,1.713353,1.717033
20210218,1.733095,1.734186,1.730145,1.731236
20210219,1.753596,1.758773,1.752331,1.757509
20210222,1.776160,1.779143,1.776073,1.779056
20210223,1.804258,1.806362,1.803350,1.805454
20210224,1.828261,1.835488,1.824529,1.831756
20210225,1.854188,1.854541,1.850187,1.850540
20210226,1.873989,1.878375,1.873200,1.877586
20210301,1.900760,1.904712,1.893717,1.897669
20210302,1.924285,1.927523,1.923342,1.926580
20210303,1.953466,1.958769,1.951640,1.956944
20210304,1.987048,1.988372,1.984072,1.985396
20210305,2.015125,2.019450,2.012711,2.017036
20210308,2.044665,2.049886,2.043422,2.048643
20210309,2.075165,2.078338,2.070624,2.073796
20210310,2.101250,2.101978,2.098604,2.099331
20210311,2.126672,2.129324,2.125984,2.128636
20210312,2.160357,2.163829,2.157481,2.160953
20210315,2.190476,2.193065,2.188326,2.190915
20210316,2.220042,2.226694,2.217110,2.223761
20210317,2.249896,2.252972,2.244904,2.247980
20210318,2.277381,2.280691,2.270390,2.273700
20210319,2.309552,2.313251,2.305236,2.308935
20210322,2.343474,2.346371,2.340162,2.343060
20210323,2.370418,2.371102,2.369772,2.370456
20210324,2.397551,2.400738,2.392851,2.396037
20210325,2.430342,2.436068,2.426443,2.432168
20210326,2.458845,2.462547,2.457214,2.460916
20210329,2.493479,2.496717,2.491763,2.495001
20210330,2.524619,2.527450,2.522271,2.525101
20210331,2.553580,2.555622,2.552144,2.554186
20210401,2.588220,2.595010,2.585296,2.592085
20210402,2.623499,2.626061,2.619249,2.621811
20210405,2.660812,2.666595,2.658078,2.663861
20210406,2.703865,2.709632,2.701690,2.707457
20210407,2.740337,2.744747,2.737029,2.741440
20210408,2.774833,2.775705,2.772280,2.773152
20210409,2.810184,2.816059,2.807347,2.813223
20210412,2.849763,2.852467,2.846529,2.849233
20210413,2.888103,2.890673,2.887189,2.889760
20210414,2.928021,2.933408,2.925375,2.930762
20210415,2.968873,2.971314,2.964840,2.967281
20210416,3.001718,3.002105,2.998536,2.998924
20210419,3.035033,3.038881,3.030759,3.034607
20210420,3.071516,3.072657,3.068116,3.069257
20210421,3.106449,3.109181,3.100271,3.103002
20210422,3.137235,3.142443,3.135487,3.140696
20210423,3.180906,3.183896,3.178135,3.181125
20210426,3.215714,3.217981,3.213208,3.215475
20210427,3.254555,3.254871,3.252782,3.253099
20210428,3.293192,3.299126,3.290896,3.296830
20210429,3.338752,3.341364,3.332187,3.334800
20210430,3.374133,3.378125,3.367201,3.371193
20210503,3.409654,3.414107,3.409116,3.413569
20210504,3.453480,3.458560,3.450795,3.455874
20210505,3.496593,3.500188,3.493750,3.497345
20210506,3.534791,3.539045,3.532766,3.537019
20210507,3.574780,3.577138,3.570958,3.573316
20210510,3.615200,3.619460,3.612057,3.616318
20210511,3.655737,3.657582,3.655708,3.657553
20210512,3.697047,3.698603,3.695589,3.697145
20210513,3.732257,3.732655,3.728224,3.728622
20210514,3.766204,3.766647,3.763239,3.763682
20210517,3.808084,3.811772,3.802965,3.806653
20210518,3.848743,3.853961,3.846461,3.851678
20210519,3.887734,3.888247,3.885041,3.885554
20210520,3.922289,3.925447,3.920818,3.923976
20210521,3.964794,3.970665,3.961114,3.966985
20210524,4.007884,4.011349,4.002744,4.006209
20210525,4.043795,4.047223,4.037387,4.040814
20210526,4.077305,4.079983,4.074149,4.076828
20210527,4.119387,4.120943,4.117704,4.119260
20210528,4.164128,4.170477,4.161303,4.167652
20210531,4.205985,4.211346,4.203808,4.209168
20210601,4.246067,4.248788,4.243031,4.245753
20210602,4.281958,4.284259,4.276339,4.278640
20210603,4.318126,4.319820,4.313795,4.315489
20210604,4.350496,4.352392,4.349651,4.351547
20210607,4.391161,4.396921,4.389361,4.395121
20210608,4.431679,4.434459,4.428015,4.430795
20210609,4.471522,4.474557,4.465029,4.468064
20210610,4.506039,4.509695,4.499558,4.503214
20210611,4.542559,4.543620,4.541395,4.542457
20210614,4.585126,4.585593,4.580825,4.581292
20210615,4.617335,4.618073,4.615349,4.616087
20210616,4.658296,4.662422,4.655735,4.659861
20210617,4.699993,4.702236,4.698370,4.700612
20210618,4.737288,4.744361,4.734171,4.741244
20210621,4.780042,4.783917,4.774115,4.777990
20210622,4.816735,4.816927,4.816303,4.816495
20210623,4.853351,4.858972,4.849828,4.855449
20210624,4.889872,4.893511,4.882869,4.886508
20210625,4.920716,4.922006,4.920428,4.921718
20210628,4.953700,4.955085,4.948908,4.950293
20210629,4.986409,4.990178,4.982283,4.986052
20210630,5.018708,5.021111,5.016777,5.019179
20210701,5.052530,5.055414,5.049946,5.052830
20210702,5.091991,5.093389,5.089351,5.090750
20210705,5.124770,5.129489,5.123181,5.127901
20210706,5.160995,5.163410,5.156172,5.158587
20210707,5.192156,5.192495,5.190787,5.191126
20210708,5.224621,5.226271,5.224021,5.225671
20210709,5.258952,5.265544,5.256299,5.262891
20210712,5.298327,5.303900,5.295461,5.301034
20210713,5.336190,5.339232,5.329244,5.332286
20210714,5.367466,5.370163,5.363103,5.365800
20210715,5.396397,5.401784,5.393882,5.399269
20210716,5.434152,5.437982,5.429912,5.433743
20210719,5.467278,5.470305,5.463701,5.466728
20210720,5.500434,5.504256,5.499117,5.502938
20210721,5.532614,5.535515,5.529763,5.532665
20210722,5.561525,5.564805,5.555029,5.558309
20210723,5.593882,5.596775,5.593149,5.596043
20210726,5.623732,5.625997,5.622228,5.624494
20210727,5.650078,5.655554,5.648597,5.654073
20210728,5.684050,5.687115,5.680797,5.683862
20210729,5.710987,5.715237,5.707767,5.712017
20210730,5.738504,5.738869,5.734283,5.734648
20210802,5.761368,5.762669,5.759867,5.761167
20210803,5.788626,5.796112,5.784802,5.792287
20210804,5.816011,5.819219,5.812790,5.815997
20210805,5.842660,5.845148,5.842349,5.844837
20210806,5.867064,5.872081,5.864060,5.869077
20210809,5.892110,5.892803,5.892097,5.892790
20210810,5.915199,5.916932,5.914455,5.916188
20210811,5.944070,5.946042,5.939950,5.941922
20210812,5.962115,5.969242,5.958463,5.965590
20210813,5.988657,5.990081,5.983820,5.985244
20210816,6.006819,6.009111,6.005013,6.007306
20210817,6.028592,6.032414,6.024212,6.028034
20210818,6.045789,6.048473,6.044310,6.046994
20210819,6.065173,6.067491,6.061184,6.063502
20210820,6.084618,6.085182,6.082625,6.083189
20210823,6.106937,6.111768,6.103637,6.108469
20210824,6.129606,6.131822,6.126522,6.128738
20210825,6.146815,6.149345,6.142749,6.145279
20210826,6.164930,6.168730,6.161697,6.165497
20210827,6.187891,6.189771,6.182595,6.184475
20210830,6.204198,6.207927,6.203718,6.207448
20210831,6.226493,6.227736,6.222083,6.223327
20210901,6.239017,6.243338,6.238160,6.242481
20210902,6.253949,6.259335,6.251475,6.256861
20210903,6.274272,6.281013,6.271069,6.277809
20210906,6.292511,6.293573,6.291199,6.292261
20210907,6.306320,6.307527,6.302094,6.303300
20210908,6.319796,6.323399,6.319717,6.323320
20210909,6.334825,6.336958,6.331973,6.334105
20210910,6.348494,6.354671,6.344634,6.350812
20210913,6.359336,6.361942,6.358333,6.360939
20210914,6.369327,6.372873,6.362907,6.366453
20210915,6.373812,6.377065,6.366856,6.370109
20210916,6.375011,6.379911,6.372311,6.377210
20210917,6.390524,6.392227,6.389400,6.391104
20210920,6.395040,6.397377,6.395016,6.397354
20210921,6.406535,6.408869,6.406020,6.408354
20210922,6.411421,6.412449,6.406550,6.407578
20210923,6.415828,6.418342,6.415539,6.418053
20210924,6.428325,6.428522,6.427537,6.427734
20210927,6.432313,6.435605,6.426377,6.429669
20210928,6.433095,6.434119,6.430108,6.431131
20210929,6.433560,6.437203,6.433066,6.436709
20210930,6.439332,6.443592,6.438794,6.443055
20211001,6.447679,6.449253,6.443513,6.445087
20211004,6.447826,6.451113,6.442606,6.445893
20211005,6.447782,6.449253,6.447574,6.449045
20211006,6.448657,6.453287,6.446414,6.451043
20211007,6.449844,6.450082,6.449745,6.449983
20211008,6.450398,6.454013,6.444110,6.447726
20211011,6.448573,6.451635,6.441731,6.444793
20211012,6.445962,6.447269,6.444749,6.446057
20211013,6.442453,6.445855,6.437783,6.441184
20211014,6.438592,6.444520,6.435239,6.441167
20211015,6.435944,6.442429,6.432785,6.439270
20211018,6.436257,6.441042,6.434898,6.439683
20211019,6.433039,6.434206,6.429185,6.430352
20211020,6.428494,6.431252,6.427477,6.430235
20211021,6.425390,6.430716,6.421754,6.427080
20211022,6.424137,6.429824,6.420285,6.425973
20211025,6.416092,6.418697,6.410875,6.413480
20211026,6.403158,6.407322,6.399226,6.403390
20211027,6.396772,6.400445,6.395188,6.398861
20211028,6.395774,6.400926,6.392861,6.398013
20211029,6.389208,6.390242,6.386935,6.387968
20211101,6.379392,6.383604,6.375738,6.379950
20211102,6.372295,6.375910,6.371199,6.374814
20211103,6.367376,6.369532,6.365056,6.367212
20211104,6.353647,6.357249,6.351767,6.355368
20211105,6.340082,6.343444,6.338640,6.342002
20211108,6.325505,6.328718,6.321666,6.324879
20211109,6.311066,6.313492,6.309357,6.311783
20211110,6.299278,6.302477,6.298901,6.302100
20211111,6.289198,6.294120,6.286573,6.291496
20211112,6.272639,6.274774,6.267945,6.270080
20211115,6.251336,6.252919,6.246413,6.247996
20211116,6.233808,6.240629,6.230768,6.237590
20211117,6.218167,6.221774,6.212125,6.215731
20211118,6.201618,6.208070,6.198406,6.204859
20211119,6.183803,6.191232,6.180039,6.187469
20211122,6.170884,6.173596,6.167224,6.169936
20211123,6.153253,6.156236,6.152582,6.155566
20211124,6.136147,6.139610,6.129655,6.133118
20211125,6.115512,6.118942,6.114325,6.117755
20211126,6.099815,6.103006,6.099069,6.102260
20211129,6.082207,6.085729,6.075441,6.078964
20211130,6.058228,6.062432,6.055163,6.059368
20211201,6.039430,6.042015,6.033323,6.035909
20211202,6.012856,6.017024,6.011969,6.016137
20211203,5.993376,5.995176,5.989393,5.991193
20211206,5.966164,5.969769,5.965593,5.969198
20211207,5.943460,5.946031,5.942894,5.945465
20211208,5.919729,5.919776,5.918136,5.918183
20211209,5.894381,5.898295,5.887389,5.891303
20211210,5.868048,5.868820,5.864836,5.865608
20211213,5.835037,5.839742,5.832280,5.836985
20211214,5.809582,5.811221,5.808701,5.810340
20211215,5.777710,5.781371,5.773938,5.777600
20211216,5.753202,5.758189,5.751711,5.756698
20211217,5.725755,5.728850,5.721907,5.725001
20211220,5.696586,5.700903,5.694487,5.698804
20211221,5.671580,5.675498,5.671216,5.675134
20211222,5.646181,5.649064,5.642415,5.645298
20211223,5.614730,5.617661,5.609046,5.611977
20211224,5.586029,5.589787,5.582491,5.586249
20211227,5.551924,5.554400,5.549858,5.552334
20211228,5.523793,5.527716,5.519460,5.523383
20211229,5.489757,5.490107,5.486504,5.486854
20211230,5.454030,5.455063,5.453019,5.454052
20211231,5.419555,5.422656,5.412526,5.415627
20220103,5.382214,5.383418,5.379489,5.380693
20220104,5.344263,5.347558,5.342513,5.345808
20220105,5.312602,5.314375,5.311403,5.313175
20220106,5.274392,5.275978,5.270620,5.272206
20220107,5.239242,5.242705,5.238321,5.241784
20220110,5.208597,5.211177,5.205382,5.207963
20220111,5.177551,5.179232,5.173701,5.175382
20220112,5.137967,5.138458,5.137836,5.138326
20220113,5.099735,5.102754,5.097984,5.101003
20220114,5.061698,5.065839,5.060549,5.064690
20220117,5.027496,5.029523,5.022896,5.024923
20220118,4.992923,4.993842,4.991373,4.992292
20220119,4.953840,4.955356,4.952169,4.953685
20220120,4.921268,4.925806,4.917298,4.921836
20220121,4.881284,4.887112,4.878639,4.884467
20220124,4.849523,4.854462,4.846367,4.851305
20220125,4.809562,4.811534,4.804272,4.806243
20220126,4.769729,4.773587,4.767554,4.771411
20220127,4.729069,4.732083,4.725804,4.728818
20220128,4.689508,4.693246,4.688576,4.692314
20220131,4.656076,4.660091,4.652626,4.656640
20220201,4.621958,4.625716,4.618558,4.622316
20220202,4.585005,4.589064,4.584827,4.588887
20220203,4.546812,4.547863,4.544152,4.545203
20220204,4.508412,4.511904,4.506601,4.510093
20220207,4.469954,4.472275,4.466755,4.469077
20220208,4.431234,4.434384,4.430500,4.433650
20220209,4.391940,4.392778,4.388786,4.389624
20220210,4.350613,4.354734,4.347451,4.351572
20220211,4.314198,4.319275,4.310770,4.315847
20220214,4.275280,4.277568,4.275229,4.277517
20220215,4.236193,4.237072,4.231573,4.232452
20220216,4.192216,4.192267,4.191802,4.191853
20220217,4.147444,4.154800,4.143843,4.151200
20220218,4.112781,4.117388,4.110168,4.114775
20220221,4.075054,4.075506,4.073448,4.073900
20220222,4.037431,4.040203,4.032490,4.035262
20220223,3.997791,3.998657,3.994671,3.995538
20220224,3.951675,3.954099,3.949440,3.951864
20220225,3.915777,3.916839,3.914596,3.915658
20220228,3.880456,3.882774,3.880009,3.882327
20220301,3.840176,3.843317,3.837534,3.840676
20220302,3.800721,3.805700,3.797584,3.802562
20220303,3.758597,3.762091,3.755508,3.759001
20220304,3.721569,3.724280,3.719306,3.722017
20220307,3.683654,3.686176,3.679114,3.681636
20220308,3.640709,3.645210,3.638610,3.643111
20220309,3.606034,3.613539,3.602294,3.609800
20220310,3.570072,3.573941,3.563424,3.567292
20220311,3.530279,3.537762,3.526655,3.534138
20220314,3.494732,3.495573,3.491510,3.492351
20220315,3.456610,3.462527,3.453069,3.458985
20220316,3.419646,3.425378,3.417731,3.423463
20220317,3.382731,3.383380,3.379535,3.380183
20220318,3.343711,3.347515,3.343564,3.347367
20220321,3.305822,3.307082,3.301537,3.302796
20220322,3.262087,3.264018,3.259338,3.261269
20220323,3.224386,3.229531,3.222899,3.228043
20220324,3.191954,3.195040,3.186054,3.189141
20220325,3.153234,3.156513,3.152600,3.155879
20220328,3.120183,3.125215,3.118469,3.123501
20220329,3.082098,3.084928,3.081484,3.084315
20220330,3.047648,3.051171,3.044347,3.047869
20220331,3.012602,3.016565,3.006440,3.010403
20220401,2.970408,2.972589,2.966595,2.968776
20220404,2.934546,2.940484,2.932130,2.938067
20220405,2.900056,2.905666,2.896737,2.902347
20220406,2.866218,2.872611,2.863211,2.869604
20220407,2.835329,2.840404,2.832995,2.838070
20220408,2.801975,2.808500,2.798124,2.804649
20220411,2.770724,2.772416,2.765319,2.767011
20220412,2.728185,2.729990,2.725256,2.727061
20220413,2.695298,2.695446,2.692922,2.693069
20220414,2.657283,2.658915,2.655815,2.657448
20220415,2.620757,2.623467,2.618892,2.621602
20220418,2.586917,2.591841,2.585609,2.590533
20220419,2.552808,2.556873,2.552293,2.556358
20220420,2.525074,2.531124,2.521863,2.527913
20220421,2.495854,2.501757,2.492684,2.498588
20220422,2.467862,2.468421,2.466136,2.466695
20220425,2.434734,2.441282,2.431680,2.438228
20220426,2.409251,2.415361,2.405770,2.411880
20220427,2.383206,2.384950,2.381509,2.383253
20220428,2.352706,2.352818,2.352051,2.352163
20220429,2.322623,2.325410,2.317773,2.320560
20220502,2.288773,2.292253,2.284695,2.288175
20220503,2.261172,2.261462,2.259118,2.259408
20220504,2.233206,2.235293,2.230628,2.232716
20220505,2.201552,2.203181,2.197925,2.199554
20220506,2.172041,2.175859,2.166861,2.170679
20220509,2.148383,2.149891,2.146632,2.148140
20220510,2.123326,2.125558,2.121045,2.123277
20220511,2.090214,2.093626,2.084254,2.087667
20220512,2.063946,2.064119,2.062245,2.062418
20220513,2.036009,2.041107,2.034503,2.039601
20220516,2.009458,2.013134,2.002421,2.006097
20220517,1.979566,1.983160,1.978420,1.982014
20220518,1.956449,1.956829,1.955036,1.955416
20220519,1.928520,1.932852,1.925100,1.929432
20220520,1.910119,1.914161,1.907278,1.911319
20220523,1.887046,1.889011,1.886952,1.888916
20220524,1.870324,1.873531,1.868963,1.872170
20220525,1.852517,1.856220,1.849979,1.853682
20220526,1.835298,1.838606,1.832868,1.836176
20220527,1.815916,1.818612,1.813609,1.816305
20220530,1.796176,1.797280,1.793725,1.794829
20220531,1.777050,1.781363,1.774638,1.778950
20220601,1.759115,1.759595,1.754716,1.755195
20220602,1.741429,1.743434,1.737978,1.739983
