Date,Open,High,Low,Close
20210101,109.724517,110.064098,109.502200,109.841781
20210104,109.511293,109.728980,109.006156,109.223842
20210105,108.989306,109.306015,108.435860,108.752570
20210106,109.347202,109.484135,109.151310,109.288243
20210107,109.483559,109.805909,109.424070,109.746420
20210108,110.462719,110.642877,110.144139,110.324298
20210111,111.398122,111.400896,111.072988,111.075762
20210112,111.699507,111.871246,111.213104,111.384843
20210113,112.312708,113.039869,111.988054,112.715215
20210114,113.587957,114.272399,113.306503,113.990945
20210115,114.909469,114.911337,114.471521,114.473388
20210118,115.063356,115.737328,114.856683,115.530655
20210119,116.246990,116.527793,115.883814,116.164617
20210120,117.124370,117.397200,116.656960,116.929790
20210121,117.595386,118.079447,117.091532,117.575593
20210122,119.020328,119.111009,118.762817,118.853498
20210125,120.629994,121.033400,119.763274,120.166681
20210126,121.570602,122.030458,120.734815,121.194671
20210127,122.444698,123.039107,122.195211,122.789620
20210128,124.624326,124.841428,124.175191,124.392293
20210129,125.941706,126.712449,125.450082,126.220825
20210201,128.129738,128.760883,127.799284,128.430428
20210202,129.934768,130.621911,129.536731,130.223873
20210203,132.586745,133.089489,132.561064,133.063808
20210204,135.622450,135.637476,135.553062,135.568087
20210205,137.545633,138.041818,136.849979,137.346163
20210208,139.722632,140.254201,139.559453,140.091022
20210209,142.010228,142.751021,141.647398,142.388191
20210210,144.075461,144.515130,143.791692,144.231361
20210211,147.034751,147.306874,146.374428,146.646551
20210212,148.352751,149.032259,147.882600,148.562109
20210215,151.310157,151.569756,150.806898,151.066497
20210216,153.391443,153.889242,153.322015,153.819814
20210217,156.160375,157.093200,155.698769,156.631593
20210218,159.525109,159.541334,159.259886,159.276111
20210219,162.114473,162.307594,162.051786,162.244906
20210222,164.943104,165.190224,164.589680,164.836800
20210223,168.136110,168.242571,168.059449,168.165911
20210224,170.693304,171.381407,170.303389,170.991492
20210225,173.668675,173.740391,173.182107,173.253824
20210226,175.728178,176.388138,175.265958,175.925918
20210301,178.672307,179.502374,178.274281,179.104348
20210302,182.772242,183.191300,182.565777,182.984835
20210303,186.060156,186.326895,185.574993,185.841732
20210304,189.146947,189.915257,188.746372,189.514681
20210305,192.885077,193.418236,192.671816,193.204976
20210308,196.216019,196.261723,195.785171,195.830875
20210309,199.074958,199.753591,198.657929,199.336562
20210310,202.341233,202.704143,201.991692,202.354602
20210311,205.802905,206.496267,205.327985,206.021347
20210312,209.432752,209.795082,208.655718,209.018048
20210315,212.176597,212.305033,211.800232,211.928668
20210316,216.024090,216.327522,215.431431,215.734863
20210317,220.014468,220.069001,219.715625,219.770157
20210318,223.375205,223.429851,223.190123,223.244769
20210319,227.113558,227.349177,226.948697,227.184315
20210322,231.305704,231.987034,230.984406,231.665736
20210323,235.901765,236.696332,235.421868,236.216436
20210324,240.113710,240.462273,240.110564,240.459127
20210325,244.819607,245.154835,244.542845,244.878073
20210326,248.267325,248.942102,248.054248,248.729025
20210329,253.141427,253.208345,252.658446,252.725365
20210330,257.298535,257.664179,256.681791,257.047435
20210331,261.836908,262.165284,261.507571,261.835947
20210401,266.615568,267.160165,266.495595,267.040192
20210402,271.589668,272.085033,270.698391,271.193757
20210405,275.407164,275.603036,275.198323,275.394196
20210406,279.211995,279.565063,278.370526,278.723594
20210407,282.859164,283.172753,282.449862,282.763451
20210408,287.538176,287.789001,287.014727,287.265552
20210409,291.513179,291.965424,290.698468,291.150713
20210412,295.180217,295.540887,294.410247,294.770918
20210413,298.793207,299.121360,298.533427,298.861580
20210414,303.322830,303.469339,302.873723,303.020232
20210415,307.692738,307.819344,307.168992,307.295599
20210416,311.557294,311.708825,311.033128,311.184660
20210419,315.386569,315.822588,315.355588,315.791607
20210420,321.071187,321.680475,320.801872,321.411160
20210421,325.838810,326.095794,325.558365,325.815350
20210422,330.812076,331.649928,330.319157,331.157009
20210423,335.640432,335.838263,335.607326,335.805157
20210426,340.385901,340.784798,340.322384,340.721281
20210427,345.279316,345.977612,345.030331,345.728626
20210428,350.525959,350.732204,350.092283,350.298528
20210429,355.188732,355.330372,355.146464,355.288104
20210430,360.510289,360.587083,360.384396,360.461190
20210503,364.896506,365.553095,364.714392,365.370981
20210504,370.035525,370.436823,369.381078,369.782376
20210505,375.008375,375.438637,374.267643,374.697906
20210506,379.399147,380.062068,379.083148,379.746069
20210507,384.509794,384.904645,384.274419,384.669270
20210510,389.573455,390.362495,389.284367,390.073407
20210511,395.031438,395.813769,394.562586,395.344916
