Date,Open,High,Low,Close
20210101,194165.085795,196443.996774,193597.724480,195876.635460
20210104,196951.220862,199903.529835,195034.689506,197986.998480
20210105,197829.823569,198361.660493,196518.807001,197050.643925
20210106,198582.257938,201041.408971,196925.898143,199385.049176
20210107,200140.302224,201820.969069,199254.952217,200935.619061
20210108,203177.218733,205319.248023,201974.794742,204116.824032
20210111,207486.074275,208975.249980,206600.229550,208089.405254
20210112,210009.539705,211418.478869,208410.596061,209819.535224
20210113,210000.769039,212866.896724,208193.057634,211059.185318
20210114,213704.538335,214953.064624,211154.836035,212403.362324
20210115,213189.705254,214262.325788,210263.164289,211335.784823
20210118,214565.366181,216731.222739,212872.051162,215037.907720
20210119,219613.891676,221333.811049,218564.737972,220284.657344
20210120,224508.284510,225643.477502,222786.049447,223921.242439
20210121,226992.340691,227389.204937,225566.678453,225963.542700
20210122,229668.621113,231878.178877,228469.989539,230679.547303
20210125,238677.751395,240922.049523,236743.722386,238988.020514
20210126,244319.205261,247060.464641,243377.309144,246118.568524
20210127,252430.511129,255757.980895,250552.174845,253879.644611
20210128,259661.006962,261293.174906,258171.666626,259803.834570
20210129,266354.294810,269290.347983,264465.520704,267401.573877
20210201,274574.962279,275363.779193,273166.590319,273955.407233
20210202,280786.641295,281709.525166,279836.310013,280759.193884
20210203,287494.662510,289767.177343,285717.607480,287990.122312
20210204,297285.793665,298624.108583,297254.859746,298593.174664
20210205,307235.799116,307426.592019,306471.758118,306662.551021
20210208,312585.713639,313907.958451,310521.706711,311843.951523
20210209,320977.197786,322264.467652,319489.572365,320776.842231
20210210,327172.602571,328752.162225,326654.121434,328233.681087
20210211,337971.446105,341047.170569,336630.425572,339706.150035
20210212,347118.134050,348249.655493,344421.850670,345553.372113
20210215,356632.446433,360117.862525,354933.375596,358418.791688
20210216,368504.540771,370255.462480,367190.272368,368941.194077
20210217,379091.729658,379897.904889,378242.589875,379048.765106
20210218,388736.110092,389272.001230,387768.259538,388304.150675
20210219,399026.414803,401095.450361,398639.810673,400708.846231
20210222,412633.167252,413090.631680,412627.380040,413084.844468
20210223,423683.055081,427067.705095,421939.113456,425323.763470
20210224,439473.092864,440774.600020,439186.316064,440487.823219
20210225,451081.538564,454511.528958,449410.060865,452840.051258
20210226,464577.553709,466363.544740,461594.266431,463380.257462
20210301,475072.836389,475432.292549,472793.523316,473152.979476
20210302,484634.871010,485616.115172,484449.830416,485431.074578
20210303,499105.170216,500570.115518,498330.058520,499795.003822
20210304,514692.466901,515920.710988,514537.861717,515766.105804
20210305,529650.503021,530912.358854,526391.500357,527653.356190
20210308,540464.833030,543153.225861,539348.751128,542037.143959
20210309,553367.865140,555727.881125,552245.428975,554605.444960
20210310,568554.024939,568994.057187,567309.387056,567749.419304
20210311,580852.741060,583062.865210,580225.097750,582435.221900
20210312,595686.578428,597006.975380,594138.446695,595458.843648
20210315,608778.317781,609480.340752,607023.738544,607725.761514
20210316,622422.433742,624164.373392,621656.627045,623398.566695
20210317,637464.307311,638129.802145,636621.870956,637287.365790
20210318,651502.352985,651782.309599,650372.183982,650652.140596
20210319,666132.826325,667358.931092,663483.335081,664709.439848
20210322,680004.987443,681829.843649,679290.191984,681115.048190
20210323,697084.345457,697934.715869,696745.380130,697595.750543
20210324,712667.634239,713406.190624,710910.642667,711649.199052
20210325,725356.081501,725807.361160,723400.508506,723851.788165
