Date,Open,High,Low,Close
20240101,99.23,99.78,98.89,99.45
20240102,99.47,100.12,99.23,99.89
20240103,99.91,100.45,99.67,100.23
20240104,100.25,100.78,100.01,100.56
20240105,100.58,101.12,100.34,100.89
20240108,100.91,101.45,100.67,101.23
20240109,101.25,101.78,101.01,101.56
20240110,101.58,102.12,101.34,101.89
20240111,101.91,102.45,101.67,102.23
20240112,102.25,102.78,102.01,102.56
20240115,102.58,103.12,102.34,102.89
20240116,102.91,103.45,102.67,103.23
20240117,103.25,103.78,103.01,103.56
20240118,103.58,104.12,103.34,103.89
20240119,103.91,104.45,103.67,104.23
20240122,104.25,104.78,104.01,104.56
20240123,104.58,105.12,104.34,104.89
20240124,104.91,105.45,104.67,105.23
20240125,105.25,105.78,105.01,105.56
20240126,105.58,106.12,105.34,105.89
