Date,Open,High,Low,Close
20240101,165.23,166.12,164.89,165.78
20240102,165.80,166.45,165.34,166.23
20240103,166.25,167.11,165.98,166.89
20240104,166.91,167.67,166.45,167.34
20240105,167.36,168.23,167.01,167.89
20240108,167.91,168.78,167.56,168.34
20240109,168.36,169.12,168.01,168.78
20240110,168.80,169.56,168.45,169.23
20240111,169.25,170.01,168.89,169.67
20240112,169.69,170.45,169.34,170.12
20240115,170.14,170.89,169.78,170.56
20240116,170.58,171.34,170.23,171.01
20240117,171.03,171.78,170.67,171.45
20240118,171.47,172.23,171.12,171.89
20240119,171.91,172.67,171.56,172.34
20240122,172.36,173.12,172.01,172.78
20240123,172.80,173.56,172.45,173.23
20240124,173.25,174.01,172.89,173.67
20240125,173.69,174.45,173.34,174.12
20240126,174.14,174.89,173.78,174.56
