Date,Open,High,Low,Close
20240101,1.1045,1.1078,1.1032,1.1067
20240102,1.1068,1.1098,1.1054,1.1089
20240103,1.1091,1.1123,1.1076,1.1112
20240104,1.1114,1.1145,1.1099,1.1134
20240105,1.1136,1.1167,1.1121,1.1156
20240108,1.1158,1.1189,1.1143,1.1178
20240109,1.1180,1.1211,1.1165,1.1200
20240110,1.1202,1.1233,1.1187,1.1222
20240111,1.1224,1.1255,1.1209,1.1244
20240112,1.1246,1.1277,1.1231,1.1266
20240115,1.1268,1.1299,1.1253,1.1288
20240116,1.1290,1.1321,1.1275,1.1310
20240117,1.1312,1.1343,1.1297,1.1332
20240118,1.1334,1.1365,1.1319,1.1354
20240119,1.1356,1.1387,1.1341,1.1376
20240122,1.1378,1.1409,1.1363,1.1398
20240123,1.1400,1.1431,1.1385,1.1420
20240124,1.1422,1.1453,1.1407,1.1442
20240125,1.1444,1.1475,1.1429,1.1464
20240126,1.1466,1.1497,1.1451,1.1486
