Date,Open,High,Low,Close
20240101,189.23,190.12,188.89,189.78
20240102,189.80,190.45,189.34,190.23
20240103,190.25,191.11,189.98,190.89
20240104,190.91,191.67,190.45,191.34
20240105,191.36,192.23,191.01,191.89
20240108,191.91,192.78,191.56,192.34
20240109,192.36,193.12,192.01,192.78
20240110,192.80,193.56,192.45,193.23
20240111,193.25,194.01,192.89,193.67
20240112,193.69,194.45,193.34,194.12
20240115,194.14,194.89,193.78,194.56
20240116,194.58,195.34,194.23,195.01
20240117,195.03,195.78,194.67,195.45
20240118,195.47,196.23,195.12,195.89
20240119,195.91,196.67,195.56,196.34
20240122,196.36,197.12,196.01,196.78
20240123,196.80,197.56,196.45,197.23
20240124,197.25,198.01,196.89,197.67
20240125,197.69,198.45,197.34,198.12
20240126,198.14,198.89,197.78,198.56
