Date,Open,High,Low,Close
20240101,1.2645,1.2678,1.2632,1.2667
20240102,1.2668,1.2698,1.2654,1.2689
20240103,1.2691,1.2723,1.2676,1.2712
20240104,1.2714,1.2745,1.2699,1.2734
20240105,1.2736,1.2767,1.2721,1.2756
20240108,1.2758,1.2789,1.2743,1.2778
20240109,1.2780,1.2811,1.2765,1.2800
20240110,1.2802,1.2833,1.2787,1.2822
20240111,1.2824,1.2855,1.2809,1.2844
20240112,1.2846,1.2877,1.2831,1.2866
20240115,1.2868,1.2899,1.2853,1.2888
20240116,1.2890,1.2921,1.2875,1.2910
20240117,1.2912,1.2943,1.2897,1.2932
20240118,1.2934,1.2965,1.2919,1.2954
20240119,1.2956,1.2987,1.2941,1.2976
20240122,1.2978,1.3009,1.2963,1.2998
20240123,1.3000,1.3031,1.2985,1.3020
20240124,1.3022,1.3053,1.3007,1.3042
20240125,1.3044,1.3075,1.3029,1.3064
20240126,1.3066,1.3097,1.3051,1.3086
