Date,Open,High,Low,Close
20240101,149.52,150.12,149.31,149.89
20240102,149.90,150.45,149.78,150.23
20240103,150.25,150.88,149.95,150.67
20240104,150.65,151.22,150.34,151.01
20240105,151.05,151.78,150.89,151.45
20240108,151.43,152.11,151.28,151.89
20240109,151.88,152.45,151.67,152.23
20240110,152.25,152.89,151.98,152.56
20240111,152.58,153.12,152.34,152.78
20240112,152.76,153.45,152.58,153.21
20240115,153.23,153.89,152.98,153.67
20240116,153.65,154.23,153.45,153.98
20240117,153.96,154.67,153.78,154.34
20240118,154.32,154.89,154.12,154.56
20240119,154.58,155.23,154.34,154.98
20240122,154.96,155.67,154.78,155.34
20240123,155.32,155.89,155.12,155.67
20240124,155.65,156.23,155.45,155.89
20240125,155.87,156.45,155.67,156.23
20240126,156.21,156.78,156.01,156.56
